Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2016,01,01,35.0,1,Y
IDCJAC0010,009225,2016,01,02,36.0,1,Y
IDCJAC0010,009225,2016,01,03,36.7,1,Y
IDCJAC0010,009225,2016,01,04,31.5,1,Y
IDCJAC0010,009225,2016,01,05,27.9,1,Y
IDCJAC0010,009225,2016,01,06,33.5,1,Y
IDCJAC0010,009225,2016,01,07,41.9,1,Y
IDCJAC0010,009225,2016,01,08,37.7,1,Y
IDCJAC0010,009225,2016,01,09,34.7,1,Y
IDCJAC0010,009225,2016,01,10,26.4,1,Y
IDCJAC0010,009225,2016,01,11,27.4,1,Y
IDCJAC0010,009225,2016,01,12,26.0,1,Y
IDCJAC0010,009225,2016,01,13,31.0,1,Y
IDCJAC0010,009225,2016,01,14,34.2,1,Y
IDCJAC0010,009225,2016,01,15,36.7,1,Y
IDCJAC0010,009225,2016,01,16,38.7,1,Y
IDCJAC0010,009225,2016,01,17,31.4,1,Y
IDCJAC0010,009225,2016,01,18,23.6,1,Y
IDCJAC0010,009225,2016,01,19,26.3,1,Y
IDCJAC0010,009225,2016,01,20,26.7,1,Y
IDCJAC0010,009225,2016,01,21,27.5,1,Y
IDCJAC0010,009225,2016,01,22,28.9,1,Y
IDCJAC0010,009225,2016,01,23,34.9,1,Y
IDCJAC0010,009225,2016,01,24,35.6,1,Y
IDCJAC0010,009225,2016,01,25,33.6,1,Y
IDCJAC0010,009225,2016,01,26,33.1,1,Y
IDCJAC0010,009225,2016,01,27,33.1,1,Y
IDCJAC0010,009225,2016,01,28,34.4,1,Y
IDCJAC0010,009225,2016,01,29,37.1,1,Y
IDCJAC0010,009225,2016,01,30,27.0,1,Y
IDCJAC0010,009225,2016,01,31,24.5,1,Y
IDCJAC0010,009225,2016,02,01,22.9,1,Y
IDCJAC0010,009225,2016,02,02,26.4,1,Y
IDCJAC0010,009225,2016,02,03,31.5,1,Y
IDCJAC0010,009225,2016,02,04,34.4,1,Y
IDCJAC0010,009225,2016,02,05,36.1,1,Y
IDCJAC0010,009225,2016,02,06,34.3,1,Y
IDCJAC0010,009225,2016,02,07,40.4,1,Y
IDCJAC0010,009225,2016,02,08,42.5,1,Y
IDCJAC0010,009225,2016,02,09,41.2,1,Y
IDCJAC0010,009225,2016,02,10,40.3,1,Y
IDCJAC0010,009225,2016,02,11,33.7,1,Y
IDCJAC0010,009225,2016,02,12,29.8,1,Y
IDCJAC0010,009225,2016,02,13,31.3,1,Y
IDCJAC0010,009225,2016,02,14,32.3,1,Y
IDCJAC0010,009225,2016,02,15,33.9,1,Y
IDCJAC0010,009225,2016,02,16,39.5,1,Y
IDCJAC0010,009225,2016,02,17,33.1,1,Y
IDCJAC0010,009225,2016,02,18,31.1,1,Y
IDCJAC0010,009225,2016,02,19,30.6,1,Y
IDCJAC0010,009225,2016,02,20,33.6,1,Y
IDCJAC0010,009225,2016,02,21,26.7,1,Y
IDCJAC0010,009225,2016,02,22,24.9,1,Y
IDCJAC0010,009225,2016,02,23,24.5,1,Y
IDCJAC0010,009225,2016,02,24,24.0,1,Y
IDCJAC0010,009225,2016,02,25,28.3,1,Y
IDCJAC0010,009225,2016,02,26,36.8,1,Y
IDCJAC0010,009225,2016,02,27,38.0,1,Y
IDCJAC0010,009225,2016,02,28,27.4,1,Y
IDCJAC0010,009225,2016,02,29,25.2,1,Y
IDCJAC0010,009225,2016,03,01,25.3,1,Y
IDCJAC0010,009225,2016,03,02,31.4,1,Y
IDCJAC0010,009225,2016,03,03,26.8,1,Y
