Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,010092,2016,01,01,15.2,1,N
IDCJAC0011,010092,2016,01,02,19.8,1,N
IDCJAC0011,010092,2016,01,03,22.0,1,N
IDCJAC0011,010092,2016,01,04,27.0,1,N
IDCJAC0011,010092,2016,01,05,23.5,1,N
IDCJAC0011,010092,2016,01,06,22.0,1,N
IDCJAC0011,010092,2016,01,07,24.0,1,N
IDCJAC0011,010092,2016,01,08,26.0,1,N
IDCJAC0011,010092,2016,01,09,19.0,1,N
IDCJAC0011,010092,2016,01,10,20.5,1,N
IDCJAC0011,010092,2016,01,11,17.3,1,N
IDCJAC0011,010092,2016,01,12,17.4,1,N
IDCJAC0011,010092,2016,01,13,15.5,1,N
IDCJAC0011,010092,2016,01,14,13.5,1,N
IDCJAC0011,010092,2016,01,15,20.0,1,N
IDCJAC0011,010092,2016,01,16,22.0,1,N
IDCJAC0011,010092,2016,01,17,23.6,1,N
IDCJAC0011,010092,2016,01,18,18.0,1,N
IDCJAC0011,010092,2016,01,19,14.5,1,N
IDCJAC0011,010092,2016,01,20,15.4,1,N
IDCJAC0011,010092,2016,01,21,16.4,1,N
IDCJAC0011,010092,2016,01,22,13.9,1,N
IDCJAC0011,010092,2016,01,23,19.0,1,N
IDCJAC0011,010092,2016,01,24,19.7,1,N
IDCJAC0011,010092,2016,01,25,21.6,1,N
IDCJAC0011,010092,2016,01,26,17.9,1,N
IDCJAC0011,010092,2016,01,27,19.4,1,N
IDCJAC0011,010092,2016,01,28,15.6,1,N
IDCJAC0011,010092,2016,01,29,15.9,1,N
IDCJAC0011,010092,2016,01,30,21.7,1,N
IDCJAC0011,010092,2016,01,31,20.0,1,N
IDCJAC0011,010092,2016,02,01,9.3,1,Y
IDCJAC0011,010092,2016,02,02,10.9,1,Y
IDCJAC0011,010092,2016,02,03,13.5,1,Y
IDCJAC0011,010092,2016,02,04,16.8,1,Y
IDCJAC0011,010092,2016,02,05,19.2,1,Y
IDCJAC0011,010092,2016,02,06,20.4,1,Y
IDCJAC0011,010092,2016,02,07,18.9,1,Y
IDCJAC0011,010092,2016,02,08,22.7,1,Y
IDCJAC0011,010092,2016,02,09,22.0,1,Y
IDCJAC0011,010092,2016,02,10,22.2,1,Y
IDCJAC0011,010092,2016,02,11,21.7,1,Y
IDCJAC0011,010092,2016,02,12,22.0,1,Y
IDCJAC0011,010092,2016,02,13,18.2,1,Y
IDCJAC0011,010092,2016,02,14,15.0,1,Y
IDCJAC0011,010092,2016,02,15,15.4,1,Y
