Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,010092,2016,01,01,33.0,1,N
IDCJAC0010,010092,2016,01,02,37.0,1,N
IDCJAC0010,010092,2016,01,03,39.0,1,N
IDCJAC0010,010092,2016,01,04,35.5,1,N
IDCJAC0010,010092,2016,01,05,38.4,1,N
IDCJAC0010,010092,2016,01,06,38.5,1,N
IDCJAC0010,010092,2016,01,07,38.0,1,N
IDCJAC0010,010092,2016,01,08,37.0,1,N
IDCJAC0010,010092,2016,01,09,37.0,1,N
IDCJAC0010,010092,2016,01,10,35.7,1,N
IDCJAC0010,010092,2016,01,11,33.3,1,N
IDCJAC0010,010092,2016,01,12,33.0,1,N
IDCJAC0010,010092,2016,01,13,30.0,1,N
IDCJAC0010,010092,2016,01,14,31.0,1,N
IDCJAC0010,010092,2016,01,15,33.0,1,N
IDCJAC0010,010092,2016,01,16,38.0,1,N
IDCJAC0010,010092,2016,01,17,38.2,1,N
IDCJAC0010,010092,2016,01,18,20.8,1,N
IDCJAC0010,010092,2016,01,19,25.3,1,N
IDCJAC0010,010092,2016,01,20,25.7,1,N
IDCJAC0010,010092,2016,01,21,28.4,1,N
IDCJAC0010,010092,2016,01,22,31.2,1,N
IDCJAC0010,010092,2016,01,23,36.0,1,N
IDCJAC0010,010092,2016,01,24,37.0,1,N
IDCJAC0010,010092,2016,01,25,28.0,1,N
IDCJAC0010,010092,2016,01,26,31.3,1,N
IDCJAC0010,010092,2016,01,27,31.5,1,N
IDCJAC0010,010092,2016,01,28,32.0,1,N
IDCJAC0010,010092,2016,01,29,33.0,1,N
IDCJAC0010,010092,2016,01,30,32.0,1,N
IDCJAC0010,010092,2016,01,31,26.2,1,N
IDCJAC0010,010092,2016,02,01,24.2,1,Y
IDCJAC0010,010092,2016,02,02,27.0,1,Y
IDCJAC0010,010092,2016,02,03,29.3,1,Y
IDCJAC0010,010092,2016,02,04,31.2,1,Y
IDCJAC0010,010092,2016,02,05,34.7,1,Y
IDCJAC0010,010092,2016,02,06,37.3,1,Y
IDCJAC0010,010092,2016,02,07,37.4,1,Y
IDCJAC0010,010092,2016,02,08,37.7,1,Y
IDCJAC0010,010092,2016,02,09,41.8,1,Y
IDCJAC0010,010092,2016,02,10,43.7,1,Y
IDCJAC0010,010092,2016,02,11,44.1,1,Y
IDCJAC0010,010092,2016,02,12,38.3,1,Y
IDCJAC0010,010092,2016,02,13,32.0,1,Y
IDCJAC0010,010092,2016,02,14,30.7,1,Y
IDCJAC0010,010092,2016,02,15,31.3,1,Y
