Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,008315,2015,01,01,30.2,1,Y
IDCJAC0010,008315,2015,01,02,26.1,1,Y
IDCJAC0010,008315,2015,01,03,30.8,1,Y
IDCJAC0010,008315,2015,01,04,35.3,1,Y
IDCJAC0010,008315,2015,01,05,43.6,1,Y
IDCJAC0010,008315,2015,01,06,34.5,1,Y
IDCJAC0010,008315,2015,01,07,29.8,1,Y
IDCJAC0010,008315,2015,01,08,31.3,1,Y
IDCJAC0010,008315,2015,01,09,35.5,1,Y
IDCJAC0010,008315,2015,01,10,35.3,1,Y
IDCJAC0010,008315,2015,01,11,35.4,1,Y
IDCJAC0010,008315,2015,01,12,37.5,1,Y
IDCJAC0010,008315,2015,01,13,28.7,1,Y
IDCJAC0010,008315,2015,01,14,27.1,1,Y
IDCJAC0010,008315,2015,01,15,32.5,1,Y
IDCJAC0010,008315,2015,01,16,37.4,1,Y
IDCJAC0010,008315,2015,01,17,37.3,1,Y
IDCJAC0010,008315,2015,01,18,29.4,1,Y
IDCJAC0010,008315,2015,01,19,33.8,1,Y
IDCJAC0010,008315,2015,01,20,41.3,1,Y
IDCJAC0010,008315,2015,01,21,36.9,1,Y
IDCJAC0010,008315,2015,01,22,30.2,1,Y
IDCJAC0010,008315,2015,01,23,32.9,1,Y
IDCJAC0010,008315,2015,01,24,30.6,1,Y
IDCJAC0010,008315,2015,01,25,34.2,1,Y
IDCJAC0010,008315,2015,01,26,40.3,1,Y
IDCJAC0010,008315,2015,01,27,37.8,1,Y
IDCJAC0010,008315,2015,01,28,30.1,1,Y
IDCJAC0010,008315,2015,01,29,28.5,1,Y
IDCJAC0010,008315,2015,01,30,32.9,1,Y
IDCJAC0010,008315,2015,01,31,34.4,1,Y
IDCJAC0010,008315,2015,02,01,34.4,1,Y
IDCJAC0010,008315,2015,02,02,34.9,1,Y
IDCJAC0010,008315,2015,02,03,31.4,1,Y
IDCJAC0010,008315,2015,02,04,30.9,1,Y
IDCJAC0010,008315,2015,02,05,30.4,1,Y
IDCJAC0010,008315,2015,02,06,29.7,1,Y
IDCJAC0010,008315,2015,02,07,36.2,1,Y
IDCJAC0010,008315,2015,02,08,33.6,1,Y
IDCJAC0010,008315,2015,02,09,31.8,1,Y
IDCJAC0010,008315,2015,02,10,31.8,1,Y
IDCJAC0010,008315,2015,02,11,35.8,1,Y
IDCJAC0010,008315,2015,02,12,32.0,1,Y
IDCJAC0010,008315,2015,02,13,30.7,1,Y
IDCJAC0010,008315,2015,02,14,27.7,1,Y
IDCJAC0010,008315,2015,02,15,33.0,1,Y
IDCJAC0010,008315,2015,02,16,37.5,1,Y
IDCJAC0010,008315,2015,02,17,37.0,1,Y
IDCJAC0010,008315,2015,02,18,38.4,1,Y
IDCJAC0010,008315,2015,02,19,33.2,1,Y
IDCJAC0010,008315,2015,02,20,29.9,1,Y
IDCJAC0010,008315,2015,02,21,27.6,1,Y
IDCJAC0010,008315,2015,02,22,28.6,1,Y
IDCJAC0010,008315,2015,02,23,39.1,1,Y
IDCJAC0010,008315,2015,02,24,31.8,1,Y
