Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,009225,2016,01,01,17.1,1,Y
IDCJAC0011,009225,2016,01,02,21.9,1,Y
IDCJAC0011,009225,2016,01,03,23.1,1,Y
IDCJAC0011,009225,2016,01,04,23.4,1,Y
IDCJAC0011,009225,2016,01,05,20.4,1,Y
IDCJAC0011,009225,2016,01,06,19.9,1,Y
IDCJAC0011,009225,2016,01,07,21.7,1,Y
IDCJAC0011,009225,2016,01,08,25.6,1,Y
IDCJAC0011,009225,2016,01,09,18.9,1,Y
IDCJAC0011,009225,2016,01,10,18.9,1,Y
IDCJAC0011,009225,2016,01,11,16.5,1,Y
IDCJAC0011,009225,2016,01,12,18.6,1,Y
IDCJAC0011,009225,2016,01,13,15.3,1,Y
IDCJAC0011,009225,2016,01,14,15.9,1,Y
IDCJAC0011,009225,2016,01,15,19.1,1,Y
IDCJAC0011,009225,2016,01,16,21.2,1,Y
IDCJAC0011,009225,2016,01,17,19.9,1,Y
IDCJAC0011,009225,2016,01,18,18.2,1,Y
IDCJAC0011,009225,2016,01,19,13.9,1,Y
IDCJAC0011,009225,2016,01,20,14.6,1,Y
IDCJAC0011,009225,2016,01,21,16.8,1,Y
IDCJAC0011,009225,2016,01,22,16.7,1,Y
IDCJAC0011,009225,2016,01,23,17.3,1,Y
IDCJAC0011,009225,2016,01,24,19.2,1,Y
IDCJAC0011,009225,2016,01,25,20.8,1,Y
IDCJAC0011,009225,2016,01,26,21.1,1,Y
IDCJAC0011,009225,2016,01,27,21.5,1,Y
IDCJAC0011,009225,2016,01,28,17.6,1,Y
IDCJAC0011,009225,2016,01,29,19.5,1,Y
IDCJAC0011,009225,2016,01,30,24.5,1,Y
IDCJAC0011,009225,2016,01,31,19.4,1,Y
IDCJAC0011,009225,2016,02,01,9.9,1,Y
IDCJAC0011,009225,2016,02,02,10.0,1,Y
IDCJAC0011,009225,2016,02,03,16.2,1,Y
IDCJAC0011,009225,2016,02,04,16.4,1,Y
IDCJAC0011,009225,2016,02,05,15.5,1,Y
IDCJAC0011,009225,2016,02,06,19.1,1,Y
