Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,009542,2015,01,01,15.2,1,Y
IDCJAC0011,009542,2015,01,02,14.4,1,Y
IDCJAC0011,009542,2015,01,03,14.1,1,Y
IDCJAC0011,009542,2015,01,04,12.1,1,Y
IDCJAC0011,009542,2015,01,05,15.3,1,Y
IDCJAC0011,009542,2015,01,06,15.6,1,Y
IDCJAC0011,009542,2015,01,07,17.9,1,Y
IDCJAC0011,009542,2015,01,08,14.9,1,Y
IDCJAC0011,009542,2015,01,09,13.0,1,Y
IDCJAC0011,009542,2015,01,10,13.7,1,Y
IDCJAC0011,009542,2015,01,11,12.0,1,Y
IDCJAC0011,009542,2015,01,12,10.9,1,Y
IDCJAC0011,009542,2015,01,13,12.5,1,Y
IDCJAC0011,009542,2015,01,14,15.0,1,Y
IDCJAC0011,009542,2015,01,15,17.9,1,Y
IDCJAC0011,009542,2015,01,16,12.1,1,Y
IDCJAC0011,009542,2015,01,17,15.8,1,Y
IDCJAC0011,009542,2015,01,18,17.8,1,Y
IDCJAC0011,009542,2015,01,19,16.9,1,Y
IDCJAC0011,009542,2015,01,20,14.9,1,Y
IDCJAC0011,009542,2015,01,21,19.5,1,Y
IDCJAC0011,009542,2015,01,22,17.2,1,Y
IDCJAC0011,009542,2015,01,23,16.4,1,Y
IDCJAC0011,009542,2015,01,24,15.0,1,Y
IDCJAC0011,009542,2015,01,25,12.7,1,Y
IDCJAC0011,009542,2015,01,26,11.8,1,Y
IDCJAC0011,009542,2015,01,27,12.7,1,Y
IDCJAC0011,009542,2015,01,28,15.8,1,Y
IDCJAC0011,009542,2015,01,29,15.7,1,Y
IDCJAC0011,009542,2015,01,30,15.2,1,Y
IDCJAC0011,009542,2015,01,31,15.2,1,Y
IDCJAC0011,009542,2015,02,01,16.3,1,Y
IDCJAC0011,009542,2015,02,02,15.5,1,Y
IDCJAC0011,009542,2015,02,03,15.8,1,Y
IDCJAC0011,009542,2015,02,04,15.8,1,Y
IDCJAC0011,009542,2015,02,05,18.2,1,Y
IDCJAC0011,009542,2015,02,06,18.6,1,Y
IDCJAC0011,009542,2015,02,07,16.6,1,Y
IDCJAC0011,009542,2015,02,08,16.9,1,Y
IDCJAC0011,009542,2015,02,09,23.5,1,Y
IDCJAC0011,009542,2015,02,10,16.1,1,Y
IDCJAC0011,009542,2015,02,11,17.3,1,Y
IDCJAC0011,009542,2015,02,12,16.8,1,Y
IDCJAC0011,009542,2015,02,13,18.3,1,Y
IDCJAC0011,009542,2015,02,14,18.6,1,Y
IDCJAC0011,009542,2015,02,15,10.5,1,Y
IDCJAC0011,009542,2015,02,16,10.6,1,Y
IDCJAC0011,009542,2015,02,17,15.5,1,Y
IDCJAC0011,009542,2015,02,18,18.2,1,Y
IDCJAC0011,009542,2015,02,19,19.5,1,Y
IDCJAC0011,009542,2015,02,20,19.0,1,Y
IDCJAC0011,009542,2015,02,21,13.5,1,Y
IDCJAC0011,009542,2015,02,22,11.3,1,Y
IDCJAC0011,009542,2015,02,23,12.4,1,Y
IDCJAC0011,009542,2015,02,24,16.1,1,Y
IDCJAC0011,009542,2015,02,25,23.3,1,Y
IDCJAC0011,009542,2015,02,26,19.8,1,Y
IDCJAC0011,009542,2015,02,27,18.3,1,Y
IDCJAC0011,009542,2015,02,28,13.4,1,Y
IDCJAC0011,009542,2015,03,01,12.9,1,Y
IDCJAC0011,009542,2015,03,02,16.9,1,Y
IDCJAC0011,009542,2015,03,03,14.9,1,Y
IDCJAC0011,009542,2015,03,04,14.0,1,Y
IDCJAC0011,009542,2015,03,05,14.4,1,Y
IDCJAC0011,009542,2015,03,06,12.2,1,Y
IDCJAC0011,009542,2015,03,07,12.6,1,Y
IDCJAC0011,009542,2015,03,08,11.0,1,Y
IDCJAC0011,009542,2015,03,09,11.3,1,Y
IDCJAC0011,009542,2015,03,10,12.6,1,Y
IDCJAC0011,009542,2015,03,11,12.4,1,Y
IDCJAC0011,009542,2015,03,12,13.9,1,Y
IDCJAC0011,009542,2015,03,13,21.8,1,Y
IDCJAC0011,009542,2015,03,14,24.8,1,Y
IDCJAC0011,009542,2015,03,15,21.0,1,Y
IDCJAC0011,009542,2015,03,16,16.3,1,Y
IDCJAC0011,009542,2015,03,17,16.5,1,Y
IDCJAC0011,009542,2015,03,18,19.3,1,Y
IDCJAC0011,009542,2015,03,19,14.7,1,Y
IDCJAC0011,009542,2015,03,20,9.5,1,Y
IDCJAC0011,009542,2015,03,21,16.5,1,Y
IDCJAC0011,009542,2015,03,22,14.9,1,Y
IDCJAC0011,009542,2015,03,23,10.2,1,Y
IDCJAC0011,009542,2015,03,24,8.4,1,Y
IDCJAC0011,009542,2015,03,25,8.8,1,Y
IDCJAC0011,009542,2015,03,26,10.4,1,Y
IDCJAC0011,009542,2015,03,27,12.4,1,Y
IDCJAC0011,009542,2015,03,28,11.8,1,Y
IDCJAC0011,009542,2015,03,29,10.5,1,Y
IDCJAC0011,009542,2015,03,30,15.0,1,Y
IDCJAC0011,009542,2015,03,31,17.0,1,Y
IDCJAC0011,009542,2015,04,01,14.8,1,Y
IDCJAC0011,009542,2015,04,02,12.2,1,Y
IDCJAC0011,009542,2015,04,03,15.0,1,Y
IDCJAC0011,009542,2015,04,04,14.3,1,Y
IDCJAC0011,009542,2015,04,05,15.5,1,Y
IDCJAC0011,009542,2015,04,06,12.0,1,Y
IDCJAC0011,009542,2015,04,07,10.9,1,Y
IDCJAC0011,009542,2015,04,08,12.9,1,Y
IDCJAC0011,009542,2015,04,09,13.4,1,Y
IDCJAC0011,009542,2015,04,10,15.4,1,Y
IDCJAC0011,009542,2015,04,11,17.0,1,Y
IDCJAC0011,009542,2015,04,12,15.4,1,Y
IDCJAC0011,009542,2015,04,13,15.3,1,Y
IDCJAC0011,009542,2015,04,14,12.7,1,Y
IDCJAC0011,009542,2015,04,15,13.4,1,Y
IDCJAC0011,009542,2015,04,16,9.8,1,Y
IDCJAC0011,009542,2015,04,17,8.2,1,Y
IDCJAC0011,009542,2015,04,18,9.6,1,Y
IDCJAC0011,009542,2015,04,19,8.4,1,Y
IDCJAC0011,009542,2015,04,20,9.9,1,Y
IDCJAC0011,009542,2015,04,21,9.0,1,Y
IDCJAC0011,009542,2015,04,22,9.7,1,Y
IDCJAC0011,009542,2015,04,23,8.6,1,Y
IDCJAC0011,009542,2015,04,24,11.4,1,Y
IDCJAC0011,009542,2015,04,25,6.8,1,Y
IDCJAC0011,009542,2015,04,26,6.1,1,Y
IDCJAC0011,009542,2015,04,27,11.4,1,Y
IDCJAC0011,009542,2015,04,28,9.7,1,Y
IDCJAC0011,009542,2015,04,29,11.0,1,Y
IDCJAC0011,009542,2015,04,30,14.4,1,Y
IDCJAC0011,009542,2015,05,01,14.4,1,Y
IDCJAC0011,009542,2015,05,02,5.8,1,Y
IDCJAC0011,009542,2015,05,03,14.0,1,Y
IDCJAC0011,009542,2015,05,04,7.8,1,Y
IDCJAC0011,009542,2015,05,05,7.3,1,Y
IDCJAC0011,009542,2015,05,06,10.6,1,Y
IDCJAC0011,009542,2015,05,07,9.0,1,Y
IDCJAC0011,009542,2015,05,08,9.6,1,Y
IDCJAC0011,009542,2015,05,09,9.4,1,Y
IDCJAC0011,009542,2015,05,10,12.9,1,Y
IDCJAC0011,009542,2015,05,11,14.0,1,Y
IDCJAC0011,009542,2015,05,12,11.9,1,Y
