Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,009542,2016,01,01,13.9,1,Y
IDCJAC0011,009542,2016,01,02,16.1,1,Y
IDCJAC0011,009542,2016,01,03,14.6,1,Y
IDCJAC0011,009542,2016,01,04,15.3,1,Y
IDCJAC0011,009542,2016,01,05,16.5,1,Y
IDCJAC0011,009542,2016,01,06,15.6,1,Y
IDCJAC0011,009542,2016,01,07,13.2,1,Y
IDCJAC0011,009542,2016,01,08,,,
IDCJAC0011,009542,2016,01,09,15.1,1,N
IDCJAC0011,009542,2016,01,10,20.1,1,Y
IDCJAC0011,009542,2016,01,11,16.2,1,Y
IDCJAC0011,009542,2016,01,12,16.0,1,Y
IDCJAC0011,009542,2016,01,13,14.3,1,Y
IDCJAC0011,009542,2016,01,14,15.2,1,Y
IDCJAC0011,009542,2016,01,15,12.7,1,Y
IDCJAC0011,009542,2016,01,16,14.9,1,Y
IDCJAC0011,009542,2016,01,17,18.3,1,Y
IDCJAC0011,009542,2016,01,18,18.5,1,Y
IDCJAC0011,009542,2016,01,19,16.9,1,Y
IDCJAC0011,009542,2016,01,20,18.0,1,Y
IDCJAC0011,009542,2016,01,21,16.7,1,Y
IDCJAC0011,009542,2016,01,22,13.9,1,Y
IDCJAC0011,009542,2016,01,23,14.3,1,Y
IDCJAC0011,009542,2016,01,24,16.0,1,Y
IDCJAC0011,009542,2016,01,25,17.1,1,Y
IDCJAC0011,009542,2016,01,26,18.7,1,Y
IDCJAC0011,009542,2016,01,27,18.0,1,Y
IDCJAC0011,009542,2016,01,28,14.0,1,Y
IDCJAC0011,009542,2016,01,29,16.6,1,Y
IDCJAC0011,009542,2016,01,30,12.9,1,Y
IDCJAC0011,009542,2016,01,31,19.0,1,Y
IDCJAC0011,009542,2016,02,01,14.3,1,Y
IDCJAC0011,009542,2016,02,02,10.6,1,Y
IDCJAC0011,009542,2016,02,03,13.2,1,Y
IDCJAC0011,009542,2016,02,04,12.9,1,Y
IDCJAC0011,009542,2016,02,05,14.6,1,Y
IDCJAC0011,009542,2016,02,06,15.2,1,Y
IDCJAC0011,009542,2016,02,07,13.7,1,Y
IDCJAC0011,009542,2016,02,08,15.8,1,Y
IDCJAC0011,009542,2016,02,09,15.6,1,Y
IDCJAC0011,009542,2016,02,10,15.5,1,Y
IDCJAC0011,009542,2016,02,11,16.0,1,Y
IDCJAC0011,009542,2016,02,12,19.2,1,Y
IDCJAC0011,009542,2016,02,13,16.3,1,Y
IDCJAC0011,009542,2016,02,14,15.7,1,Y
IDCJAC0011,009542,2016,02,15,9.7,1,Y
IDCJAC0011,009542,2016,02,16,10.5,1,Y
IDCJAC0011,009542,2016,02,17,15.3,1,Y
IDCJAC0011,009542,2016,02,18,16.1,1,Y
IDCJAC0011,009542,2016,02,19,16.1,1,Y
IDCJAC0011,009542,2016,02,20,13.9,1,Y
IDCJAC0011,009542,2016,02,21,16.2,1,Y
IDCJAC0011,009542,2016,02,22,20.4,1,Y
IDCJAC0011,009542,2016,02,23,15.1,1,Y
IDCJAC0011,009542,2016,02,24,12.7,1,Y
IDCJAC0011,009542,2016,02,25,8.1,1,Y
IDCJAC0011,009542,2016,02,26,12.0,1,Y
IDCJAC0011,009542,2016,02,27,15.5,1,Y
IDCJAC0011,009542,2016,02,28,25.0,1,Y
IDCJAC0011,009542,2016,02,29,18.5,1,Y
IDCJAC0011,009542,2016,03,01,16.0,1,Y
IDCJAC0011,009542,2016,03,02,12.3,1,Y
IDCJAC0011,009542,2016,03,03,15.9,1,Y
IDCJAC0011,009542,2016,03,04,18.6,1,Y
IDCJAC0011,009542,2016,03,05,16.1,1,Y
IDCJAC0011,009542,2016,03,06,17.6,1,Y
IDCJAC0011,009542,2016,03,07,16.1,1,Y
IDCJAC0011,009542,2016,03,08,13.7,1,Y
IDCJAC0011,009542,2016,03,09,16.0,1,Y
IDCJAC0011,009542,2016,03,10,18.4,1,Y
IDCJAC0011,009542,2016,03,11,18.0,1,Y
IDCJAC0011,009542,2016,03,12,16.7,1,Y
IDCJAC0011,009542,2016,03,13,17.2,1,Y
IDCJAC0011,009542,2016,03,14,18.5,1,Y
