Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,008315,2015,01,01,19.6,1,Y
IDCJAC0011,008315,2015,01,02,17.9,1,Y
IDCJAC0011,008315,2015,01,03,16.8,1,Y
IDCJAC0011,008315,2015,01,04,15.6,1,Y
IDCJAC0011,008315,2015,01,05,19.2,1,Y
IDCJAC0011,008315,2015,01,06,21.0,1,Y
IDCJAC0011,008315,2015,01,07,20.9,1,Y
IDCJAC0011,008315,2015,01,08,18.3,1,Y
IDCJAC0011,008315,2015,01,09,19.5,1,Y
IDCJAC0011,008315,2015,01,10,20.6,1,Y
IDCJAC0011,008315,2015,01,11,18.3,1,Y
IDCJAC0011,008315,2015,01,12,15.2,1,Y
IDCJAC0011,008315,2015,01,13,14.6,1,Y
IDCJAC0011,008315,2015,01,14,18.7,1,Y
IDCJAC0011,008315,2015,01,15,19.6,1,Y
IDCJAC0011,008315,2015,01,16,16.3,1,Y
IDCJAC0011,008315,2015,01,17,14.1,1,Y
IDCJAC0011,008315,2015,01,18,16.7,1,Y
IDCJAC0011,008315,2015,01,19,18.1,1,Y
IDCJAC0011,008315,2015,01,20,17.3,1,Y
IDCJAC0011,008315,2015,01,21,20.3,1,Y
IDCJAC0011,008315,2015,01,22,21.2,1,Y
IDCJAC0011,008315,2015,01,23,18.9,1,Y
IDCJAC0011,008315,2015,01,24,17.6,1,Y
IDCJAC0011,008315,2015,01,25,14.7,1,Y
IDCJAC0011,008315,2015,01,26,18.8,1,Y
IDCJAC0011,008315,2015,01,27,19.7,1,Y
IDCJAC0011,008315,2015,01,28,19.7,1,Y
IDCJAC0011,008315,2015,01,29,22.0,1,Y
IDCJAC0011,008315,2015,01,30,20.7,1,Y
IDCJAC0011,008315,2015,01,31,24.7,1,Y
IDCJAC0011,008315,2015,02,01,21.5,1,Y
IDCJAC0011,008315,2015,02,02,19.9,1,Y
IDCJAC0011,008315,2015,02,03,21.4,1,Y
IDCJAC0011,008315,2015,02,04,21.2,1,Y
IDCJAC0011,008315,2015,02,05,21.2,1,Y
IDCJAC0011,008315,2015,02,06,20.6,1,Y
IDCJAC0011,008315,2015,02,07,19.4,1,Y
IDCJAC0011,008315,2015,02,08,20.9,1,Y
IDCJAC0011,008315,2015,02,09,20.2,1,Y
IDCJAC0011,008315,2015,02,10,22.4,1,Y
IDCJAC0011,008315,2015,02,11,19.9,1,Y
IDCJAC0011,008315,2015,02,12,21.6,1,Y
IDCJAC0011,008315,2015,02,13,22.2,1,Y
IDCJAC0011,008315,2015,02,14,20.9,1,Y
IDCJAC0011,008315,2015,02,15,13.6,1,Y
IDCJAC0011,008315,2015,02,16,20.5,1,Y
IDCJAC0011,008315,2015,02,17,20.0,1,Y
IDCJAC0011,008315,2015,02,18,21.1,1,Y
IDCJAC0011,008315,2015,02,19,19.4,1,Y
IDCJAC0011,008315,2015,02,20,18.9,1,Y
IDCJAC0011,008315,2015,02,21,18.8,1,Y
IDCJAC0011,008315,2015,02,22,19.3,1,Y
IDCJAC0011,008315,2015,02,23,18.5,1,Y
IDCJAC0011,008315,2015,02,24,21.5,1,Y
IDCJAC0011,008315,2015,02,25,22.1,1,Y
IDCJAC0011,008315,2015,02,26,22.9,1,Y
IDCJAC0011,008315,2015,02,27,21.2,1,Y
IDCJAC0011,008315,2015,02,28,16.0,1,Y
