Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,010916,2016,01,01,24.7,1,Y
IDCJAC0010,010916,2016,01,02,32.4,1,Y
IDCJAC0010,010916,2016,01,03,30.3,1,Y
IDCJAC0010,010916,2016,01,04,32.8,1,Y
IDCJAC0010,010916,2016,01,05,33.6,1,Y
IDCJAC0010,010916,2016,01,06,33.3,1,Y
IDCJAC0010,010916,2016,01,07,35.4,1,Y
IDCJAC0010,010916,2016,01,08,34.1,1,Y
IDCJAC0010,010916,2016,01,09,37.4,1,Y
IDCJAC0010,010916,2016,01,10,32.4,1,Y
IDCJAC0010,010916,2016,01,11,32.6,1,Y
IDCJAC0010,010916,2016,01,12,25.6,1,Y
IDCJAC0010,010916,2016,01,13,24.4,1,Y
IDCJAC0010,010916,2016,01,14,29.1,1,Y
IDCJAC0010,010916,2016,01,15,32.8,1,Y
IDCJAC0010,010916,2016,01,16,36.2,1,Y
IDCJAC0010,010916,2016,01,17,30.5,1,Y
IDCJAC0010,010916,2016,01,18,22.3,1,Y
IDCJAC0010,010916,2016,01,19,25.8,1,Y
IDCJAC0010,010916,2016,01,20,18.7,1,Y
IDCJAC0010,010916,2016,01,21,21.6,1,Y
IDCJAC0010,010916,2016,01,22,23.2,1,Y
IDCJAC0010,010916,2016,01,23,32.0,1,Y
IDCJAC0010,010916,2016,01,24,28.4,1,Y
IDCJAC0010,010916,2016,01,25,27.5,1,Y
IDCJAC0010,010916,2016,01,26,28.6,1,Y
IDCJAC0010,010916,2016,01,27,27.3,1,Y
IDCJAC0010,010916,2016,01,28,27.0,1,Y
IDCJAC0010,010916,2016,01,29,31.2,1,Y
IDCJAC0010,010916,2016,01,30,27.4,1,Y
IDCJAC0010,010916,2016,01,31,21.5,1,Y
IDCJAC0010,010916,2016,02,01,21.6,1,Y
IDCJAC0010,010916,2016,02,02,23.5,1,Y
IDCJAC0010,010916,2016,02,03,27.1,1,Y
IDCJAC0010,010916,2016,02,04,31.5,1,Y
IDCJAC0010,010916,2016,02,05,34.6,1,Y
IDCJAC0010,010916,2016,02,06,31.2,1,Y
IDCJAC0010,010916,2016,02,07,35.4,1,Y
IDCJAC0010,010916,2016,02,08,38.5,1,Y
IDCJAC0010,010916,2016,02,09,40.6,1,Y
IDCJAC0010,010916,2016,02,10,36.5,1,Y
IDCJAC0010,010916,2016,02,11,39.8,1,Y
