Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,010916,2016,01,01,12.5,1,Y
IDCJAC0011,010916,2016,01,02,14.2,1,Y
IDCJAC0011,010916,2016,01,03,16.5,1,Y
IDCJAC0011,010916,2016,01,04,16.5,1,Y
IDCJAC0011,010916,2016,01,05,17.2,1,Y
IDCJAC0011,010916,2016,01,06,17.3,1,Y
IDCJAC0011,010916,2016,01,07,15.9,1,Y
IDCJAC0011,010916,2016,01,08,16.0,1,Y
IDCJAC0011,010916,2016,01,09,18.0,1,Y
IDCJAC0011,010916,2016,01,10,17.9,1,Y
IDCJAC0011,010916,2016,01,11,18.6,1,Y
IDCJAC0011,010916,2016,01,12,16.8,1,Y
IDCJAC0011,010916,2016,01,13,11.0,1,Y
IDCJAC0011,010916,2016,01,14,13.4,1,Y
IDCJAC0011,010916,2016,01,15,12.4,1,Y
IDCJAC0011,010916,2016,01,16,14.8,1,Y
IDCJAC0011,010916,2016,01,17,18.5,1,Y
IDCJAC0011,010916,2016,01,18,16.7,1,Y
IDCJAC0011,010916,2016,01,19,16.2,1,Y
IDCJAC0011,010916,2016,01,20,17.0,1,Y
IDCJAC0011,010916,2016,01,21,13.9,1,Y
IDCJAC0011,010916,2016,01,22,12.7,1,Y
IDCJAC0011,010916,2016,01,23,14.7,1,Y
IDCJAC0011,010916,2016,01,24,16.6,1,Y
IDCJAC0011,010916,2016,01,25,16.8,1,Y
IDCJAC0011,010916,2016,01,26,18.4,1,Y
IDCJAC0011,010916,2016,01,27,15.5,1,Y
IDCJAC0011,010916,2016,01,28,13.9,1,Y
IDCJAC0011,010916,2016,01,29,15.6,1,Y
IDCJAC0011,010916,2016,01,30,14.4,1,Y
IDCJAC0011,010916,2016,01,31,17.0,1,Y
IDCJAC0011,010916,2016,02,01,7.5,1,Y
IDCJAC0011,010916,2016,02,02,8.9,1,Y
IDCJAC0011,010916,2016,02,03,9.7,1,Y
IDCJAC0011,010916,2016,02,04,12.1,1,Y
IDCJAC0011,010916,2016,02,05,15.2,1,Y
IDCJAC0011,010916,2016,02,06,15.0,1,Y
IDCJAC0011,010916,2016,02,07,16.0,1,Y
IDCJAC0011,010916,2016,02,08,16.0,1,Y
IDCJAC0011,010916,2016,02,09,20.8,1,Y
IDCJAC0011,010916,2016,02,10,17.0,1,Y
IDCJAC0011,010916,2016,02,11,15.9,1,Y
IDCJAC0011,010916,2016,02,12,15.7,1,Y
IDCJAC0011,010916,2016,02,13,12.7,1,Y
IDCJAC0011,010916,2016,02,14,14.1,1,Y
IDCJAC0011,010916,2016,02,15,10.5,1,Y
IDCJAC0011,010916,2016,02,16,13.0,1,Y
IDCJAC0011,010916,2016,02,17,15.8,1,Y
IDCJAC0011,010916,2016,02,18,17.3,1,Y
IDCJAC0011,010916,2016,02,19,14.2,1,Y
IDCJAC0011,010916,2016,02,20,14.8,1,Y
IDCJAC0011,010916,2016,02,21,14.7,1,Y
IDCJAC0011,010916,2016,02,22,16.7,1,Y
IDCJAC0011,010916,2016,02,23,9.7,1,Y
IDCJAC0011,010916,2016,02,24,10.2,1,Y
IDCJAC0011,010916,2016,02,25,6.8,1,Y
IDCJAC0011,010916,2016,02,26,10.4,1,Y
IDCJAC0011,010916,2016,02,27,15.1,1,Y
IDCJAC0011,010916,2016,02,28,21.7,1,Y
IDCJAC0011,010916,2016,02,29,17.6,1,Y
IDCJAC0011,010916,2016,03,01,11.2,1,Y
IDCJAC0011,010916,2016,03,02,9.7,1,Y
IDCJAC0011,010916,2016,03,03,12.8,1,Y
IDCJAC0011,010916,2016,03,04,12.8,1,Y
IDCJAC0011,010916,2016,03,05,12.5,1,Y
IDCJAC0011,010916,2016,03,06,15.3,1,Y
IDCJAC0011,010916,2016,03,07,14.3,1,Y
IDCJAC0011,010916,2016,03,08,13.8,1,Y
IDCJAC0011,010916,2016,03,09,14.9,1,Y
IDCJAC0011,010916,2016,03,10,16.7,1,Y
IDCJAC0011,010916,2016,03,11,13.3,1,Y
IDCJAC0011,010916,2016,03,12,16.0,1,Y
IDCJAC0011,010916,2016,03,13,18.5,1,Y
IDCJAC0011,010916,2016,03,14,16.6,1,Y
IDCJAC0011,010916,2016,03,15,22.4,1,Y
IDCJAC0011,010916,2016,03,16,16.7,1,Y
IDCJAC0011,010916,2016,03,17,13.1,1,Y
IDCJAC0011,010916,2016,03,18,12.9,1,Y
IDCJAC0011,010916,2016,03,19,12.2,1,Y
IDCJAC0011,010916,2016,03,20,15.7,1,Y
IDCJAC0011,010916,2016,03,21,14.0,1,Y
IDCJAC0011,010916,2016,03,22,16.9,1,Y
IDCJAC0011,010916,2016,03,23,13.6,1,Y
IDCJAC0011,010916,2016,03,24,14.1,1,Y
IDCJAC0011,010916,2016,03,25,15.1,1,Y
IDCJAC0011,010916,2016,03,26,15.6,1,Y
IDCJAC0011,010916,2016,03,27,12.6,1,Y
IDCJAC0011,010916,2016,03,28,11.3,1,Y
IDCJAC0011,010916,2016,03,29,11.2,1,Y
IDCJAC0011,010916,2016,03,30,11.2,1,Y
IDCJAC0011,010916,2016,03,31,13.2,1,Y
IDCJAC0011,010916,2016,04,01,14.9,1,Y
IDCJAC0011,010916,2016,04,02,10.6,1,Y
IDCJAC0011,010916,2016,04,03,12.1,1,Y
IDCJAC0011,010916,2016,04,04,15.7,1,Y
