Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,008315,2016,01,01,44.1,1,Y
IDCJAC0010,008315,2016,01,02,28.7,1,Y
IDCJAC0010,008315,2016,01,03,28.2,1,Y
IDCJAC0010,008315,2016,01,04,26.8,1,Y
IDCJAC0010,008315,2016,01,05,25.0,1,Y
IDCJAC0010,008315,2016,01,06,28.0,1,Y
IDCJAC0010,008315,2016,01,07,28.7,1,Y
IDCJAC0010,008315,2016,01,08,27.9,1,Y
IDCJAC0010,008315,2016,01,09,27.3,1,Y
IDCJAC0010,008315,2016,01,10,27.6,1,Y
IDCJAC0010,008315,2016,01,11,27.4,1,Y
IDCJAC0010,008315,2016,01,12,27.5,1,Y
IDCJAC0010,008315,2016,01,13,33.8,1,Y
IDCJAC0010,008315,2016,01,14,39.4,1,Y
IDCJAC0010,008315,2016,01,15,37.3,1,Y
IDCJAC0010,008315,2016,01,16,39.8,1,Y
IDCJAC0010,008315,2016,01,17,32.9,1,Y
IDCJAC0010,008315,2016,01,18,23.2,1,Y
IDCJAC0010,008315,2016,01,19,24.6,1,Y
IDCJAC0010,008315,2016,01,20,25.9,1,Y
IDCJAC0010,008315,2016,01,21,28.4,1,Y
IDCJAC0010,008315,2016,01,22,32.5,1,Y
IDCJAC0010,008315,2016,01,23,30.3,1,Y
IDCJAC0010,008315,2016,01,24,32.6,1,Y
IDCJAC0010,008315,2016,01,25,28.0,1,Y
IDCJAC0010,008315,2016,01,26,31.3,1,Y
IDCJAC0010,008315,2016,01,27,37.4,1,Y
IDCJAC0010,008315,2016,01,28,42.0,1,Y
IDCJAC0010,008315,2016,01,29,42.7,1,Y
IDCJAC0010,008315,2016,01,30,31.2,1,Y
IDCJAC0010,008315,2016,01,31,27.9,1,Y
IDCJAC0010,008315,2016,02,01,24.6,1,Y
IDCJAC0010,008315,2016,02,02,29.1,1,Y
IDCJAC0010,008315,2016,02,03,35.7,1,Y
IDCJAC0010,008315,2016,02,04,37.3,1,Y
IDCJAC0010,008315,2016,02,05,38.7,1,Y
IDCJAC0010,008315,2016,02,06,36.2,1,Y
IDCJAC0010,008315,2016,02,07,41.6,1,Y
IDCJAC0010,008315,2016,02,08,44.1,1,Y
IDCJAC0010,008315,2016,02,09,38.5,1,Y
IDCJAC0010,008315,2016,02,10,31.1,1,Y
IDCJAC0010,008315,2016,02,11,30.4,1,Y
IDCJAC0010,008315,2016,02,12,29.4,1,Y
IDCJAC0010,008315,2016,02,13,30.9,1,Y
IDCJAC0010,008315,2016,02,14,34.5,1,Y
IDCJAC0010,008315,2016,02,15,44.5,1,Y
IDCJAC0010,008315,2016,02,16,43.9,1,Y
IDCJAC0010,008315,2016,02,17,32.5,1,Y
IDCJAC0010,008315,2016,02,18,27.6,1,Y
IDCJAC0010,008315,2016,02,19,28.6,1,Y
IDCJAC0010,008315,2016,02,20,29.2,1,Y
IDCJAC0010,008315,2016,02,21,28.1,1,Y
IDCJAC0010,008315,2016,02,22,27.6,1,Y
IDCJAC0010,008315,2016,02,23,26.7,1,Y
IDCJAC0010,008315,2016,02,24,26.7,1,Y
IDCJAC0010,008315,2016,02,25,33.4,1,Y
IDCJAC0010,008315,2016,02,26,42.8,1,Y
IDCJAC0010,008315,2016,02,27,30.5,1,Y
IDCJAC0010,008315,2016,02,28,28.5,1,Y
IDCJAC0010,008315,2016,02,29,27.2,1,Y
IDCJAC0010,008315,2016,03,01,28.5,1,N
IDCJAC0010,008315,2016,03,02,29.4,1,N
IDCJAC0010,008315,2016,03,03,26.8,1,N
IDCJAC0010,008315,2016,03,04,27.1,1,N
IDCJAC0010,008315,2016,03,05,33.3,1,N
IDCJAC0010,008315,2016,03,06,34.2,1,N
IDCJAC0010,008315,2016,03,07,38.8,1,N
IDCJAC0010,008315,2016,03,08,38.0,1,N
IDCJAC0010,008315,2016,03,09,37.4,1,N
IDCJAC0010,008315,2016,03,10,32.3,1,N
IDCJAC0010,008315,2016,03,11,28.1,1,N
IDCJAC0010,008315,2016,03,12,29.0,1,N
IDCJAC0010,008315,2016,03,13,36.0,1,N
IDCJAC0010,008315,2016,03,14,36.9,1,N
IDCJAC0010,008315,2016,03,15,26.7,1,N
IDCJAC0010,008315,2016,03,16,26.8,1,N
IDCJAC0010,008315,2016,03,17,29.5,1,N
IDCJAC0010,008315,2016,03,18,34.2,1,N
IDCJAC0010,008315,2016,03,19,29.8,1,N
IDCJAC0010,008315,2016,03,20,31.0,1,N
IDCJAC0010,008315,2016,03,21,28.6,1,N
IDCJAC0010,008315,2016,03,22,27.1,1,N
IDCJAC0010,008315,2016,03,23,30.5,1,N
IDCJAC0010,008315,2016,03,24,39.1,1,N
IDCJAC0010,008315,2016,03,25,34.7,1,N
IDCJAC0010,008315,2016,03,26,27.2,1,N
IDCJAC0010,008315,2016,03,27,25.2,1,N
IDCJAC0010,008315,2016,03,28,28.7,1,N
IDCJAC0010,008315,2016,03,29,31.8,1,N
IDCJAC0010,008315,2016,03,30,33.3,1,N
IDCJAC0010,008315,2016,03,31,26.8,1,N
IDCJAC0010,008315,2016,04,01,26.7,1,Y
IDCJAC0010,008315,2016,04,02,31.6,1,Y
IDCJAC0010,008315,2016,04,03,34.1,1,Y
IDCJAC0010,008315,2016,04,04,27.2,1,Y
IDCJAC0010,008315,2016,04,05,26.3,1,Y
IDCJAC0010,008315,2016,04,06,28.5,1,Y
IDCJAC0010,008315,2016,04,07,31.0,1,Y
IDCJAC0010,008315,2016,04,08,25.5,1,Y
IDCJAC0010,008315,2016,04,09,28.2,1,Y
IDCJAC0010,008315,2016,04,10,27.6,1,Y
IDCJAC0010,008315,2016,04,11,23.1,1,Y
IDCJAC0010,008315,2016,04,12,26.0,1,Y
IDCJAC0010,008315,2016,04,13,29.4,1,Y
IDCJAC0010,008315,2016,04,14,26.1,1,Y
IDCJAC0010,008315,2016,04,15,29.5,1,Y
IDCJAC0010,008315,2016,04,16,31.9,1,Y
IDCJAC0010,008315,2016,04,17,26.7,1,Y
IDCJAC0010,008315,2016,04,18,25.5,1,Y
IDCJAC0010,008315,2016,04,19,24.5,1,Y
IDCJAC0010,008315,2016,04,20,25.8,1,Y
IDCJAC0010,008315,2016,04,21,31.4,1,Y
IDCJAC0010,008315,2016,04,22,32.2,1,Y
IDCJAC0010,008315,2016,04,23,33.0,1,Y
IDCJAC0010,008315,2016,04,24,32.0,1,Y
IDCJAC0010,008315,2016,04,25,26.9,1,Y
IDCJAC0010,008315,2016,04,26,23.6,1,Y
IDCJAC0010,008315,2016,04,27,21.0,1,Y
IDCJAC0010,008315,2016,04,28,21.9,1,Y
IDCJAC0010,008315,2016,04,29,22.7,1,Y
IDCJAC0010,008315,2016,04,30,21.7,1,Y
IDCJAC0010,008315,2016,05,01,21.9,1,N
IDCJAC0010,008315,2016,05,02,23.5,1,N
IDCJAC0010,008315,2016,05,03,26.9,1,N
IDCJAC0010,008315,2016,05,04,25.6,1,N
IDCJAC0010,008315,2016,05,05,24.6,1,N
IDCJAC0010,008315,2016,05,06,23.2,1,N
IDCJAC0010,008315,2016,05,07,22.9,1,N
IDCJAC0010,008315,2016,05,08,20.0,1,N
IDCJAC0010,008315,2016,05,09,22.5,1,N
IDCJAC0010,008315,2016,05,10,27.5,1,N
IDCJAC0010,008315,2016,05,11,28.5,1,N
IDCJAC0010,008315,2016,05,12,27.1,1,N
IDCJAC0010,008315,2016,05,13,25.8,1,N
IDCJAC0010,008315,2016,05,14,24.4,1,N
IDCJAC0010,008315,2016,05,15,23.0,1,N
IDCJAC0010,008315,2016,05,16,25.4,1,N
IDCJAC0010,008315,2016,05,17,24.6,1,N
IDCJAC0010,008315,2016,05,18,25.7,1,N
IDCJAC0010,008315,2016,05,19,23.9,1,N
IDCJAC0010,008315,2016,05,20,23.0,1,N
IDCJAC0010,008315,2016,05,21,20.3,1,N
IDCJAC0010,008315,2016,05,22,20.3,1,N
IDCJAC0010,008315,2016,05,23,25.4,1,N
IDCJAC0010,008315,2016,05,24,20.3,1,N
IDCJAC0010,008315,2016,05,25,21.2,1,N
IDCJAC0010,008315,2016,05,26,20.7,1,N
IDCJAC0010,008315,2016,05,27,22.7,1,N
IDCJAC0010,008315,2016,05,28,20.9,1,N
IDCJAC0010,008315,2016,05,29,19.8,1,N
IDCJAC0010,008315,2016,05,30,21.6,1,N
IDCJAC0010,008315,2016,05,31,21.0,1,N
IDCJAC0010,008315,2016,06,01,21.8,1,Y
IDCJAC0010,008315,2016,06,02,26.0,1,Y
IDCJAC0010,008315,2016,06,03,23.2,1,Y
IDCJAC0010,008315,2016,06,04,17.5,1,Y
IDCJAC0010,008315,2016,06,05,19.9,1,Y
IDCJAC0010,008315,2016,06,06,20.4,1,Y
IDCJAC0010,008315,2016,06,07,14.9,1,Y
IDCJAC0010,008315,2016,06,08,16.0,1,Y
IDCJAC0010,008315,2016,06,09,17.7,1,Y
IDCJAC0010,008315,2016,06,10,19.0,1,Y
IDCJAC0010,008315,2016,06,11,21.8,1,Y
IDCJAC0010,008315,2016,06,12,23.8,1,Y
IDCJAC0010,008315,2016,06,13,20.0,1,Y
IDCJAC0010,008315,2016,06,14,18.7,1,Y
IDCJAC0010,008315,2016,06,15,19.2,1,Y
IDCJAC0010,008315,2016,06,16,19.2,1,Y
IDCJAC0010,008315,2016,06,17,19.0,1,Y
IDCJAC0010,008315,2016,06,18,21.9,1,Y
IDCJAC0010,008315,2016,06,19,21.3,1,Y
IDCJAC0010,008315,2016,06,20,18.9,1,Y
IDCJAC0010,008315,2016,06,21,17.1,1,Y
IDCJAC0010,008315,2016,06,22,18.8,1,Y
IDCJAC0010,008315,2016,06,23,18.6,1,Y
IDCJAC0010,008315,2016,06,24,18.8,1,Y
IDCJAC0010,008315,2016,06,25,18.5,1,Y
IDCJAC0010,008315,2016,06,26,16.9,1,Y
IDCJAC0010,008315,2016,06,27,19.9,1,Y
IDCJAC0010,008315,2016,06,28,21.9,1,Y
IDCJAC0010,008315,2016,06,29,20.4,1,Y
IDCJAC0010,008315,2016,06,30,19.2,1,Y
IDCJAC0010,008315,2016,07,01,21.1,1,Y
IDCJAC0010,008315,2016,07,02,21.5,1,Y
IDCJAC0010,008315,2016,07,03,19.3,1,Y
IDCJAC0010,008315,2016,07,04,17.4,1,Y
IDCJAC0010,008315,2016,07,05,18.3,1,Y
IDCJAC0010,008315,2016,07,06,19.2,1,Y
IDCJAC0010,008315,2016,07,07,20.0,1,Y
IDCJAC0010,008315,2016,07,08,16.1,1,Y
IDCJAC0010,008315,2016,07,09,15.3,1,Y
IDCJAC0010,008315,2016,07,10,18.2,1,Y
IDCJAC0010,008315,2016,07,11,17.9,1,Y
IDCJAC0010,008315,2016,07,12,17.0,1,Y
IDCJAC0010,008315,2016,07,13,16.0,1,Y
IDCJAC0010,008315,2016,07,14,20.2,1,Y
IDCJAC0010,008315,2016,07,15,22.7,1,Y
IDCJAC0010,008315,2016,07,16,22.7,1,Y
IDCJAC0010,008315,2016,07,17,20.3,1,Y
IDCJAC0010,008315,2016,07,18,16.6,1,Y
IDCJAC0010,008315,2016,07,19,16.7,1,Y
IDCJAC0010,008315,2016,07,20,18.6,1,Y
IDCJAC0010,008315,2016,07,21,16.8,1,Y
IDCJAC0010,008315,2016,07,22,17.9,1,Y
IDCJAC0010,008315,2016,07,23,17.4,1,Y
IDCJAC0010,008315,2016,07,24,17.0,1,Y
IDCJAC0010,008315,2016,07,25,17.4,1,Y
IDCJAC0010,008315,2016,07,26,18.0,1,Y
IDCJAC0010,008315,2016,07,27,19.5,1,Y
IDCJAC0010,008315,2016,07,28,22.7,1,Y
IDCJAC0010,008315,2016,07,29,25.3,1,Y
IDCJAC0010,008315,2016,07,30,20.2,1,Y
IDCJAC0010,008315,2016,07,31,19.1,1,Y
IDCJAC0010,008315,2016,08,01,16.3,1,Y
IDCJAC0010,008315,2016,08,02,18.7,1,Y
IDCJAC0010,008315,2016,08,03,21.0,1,Y
IDCJAC0010,008315,2016,08,04,20.1,1,Y
IDCJAC0010,008315,2016,08,05,20.1,1,Y
IDCJAC0010,008315,2016,08,06,18.4,1,Y
IDCJAC0010,008315,2016,08,07,18.3,1,Y
IDCJAC0010,008315,2016,08,08,18.2,1,Y
IDCJAC0010,008315,2016,08,09,16.6,1,Y
IDCJAC0010,008315,2016,08,10,18.9,1,Y
IDCJAC0010,008315,2016,08,11,19.4,1,Y
IDCJAC0010,008315,2016,08,12,18.5,1,Y
IDCJAC0010,008315,2016,08,13,19.7,1,Y
IDCJAC0010,008315,2016,08,14,24.7,1,Y
IDCJAC0010,008315,2016,08,15,20.7,1,Y
IDCJAC0010,008315,2016,08,16,21.4,1,Y
IDCJAC0010,008315,2016,08,17,21.5,1,Y
IDCJAC0010,008315,2016,08,18,17.7,1,Y
IDCJAC0010,008315,2016,08,19,17.9,1,Y
IDCJAC0010,008315,2016,08,20,18.8,1,Y
IDCJAC0010,008315,2016,08,21,18.5,1,Y
IDCJAC0010,008315,2016,08,22,16.7,1,Y
IDCJAC0010,008315,2016,08,23,17.0,1,Y
IDCJAC0010,008315,2016,08,24,18.6,1,Y
IDCJAC0010,008315,2016,08,25,23.3,1,Y
IDCJAC0010,008315,2016,08,26,24.0,1,Y
IDCJAC0010,008315,2016,08,27,19.7,1,Y
