Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,010916,2015,01,01,31.5,1,Y
IDCJAC0010,010916,2015,01,02,27.8,1,Y
IDCJAC0010,010916,2015,01,03,26.4,1,Y
IDCJAC0010,010916,2015,01,04,33.5,1,Y
IDCJAC0010,010916,2015,01,05,41.2,1,Y
IDCJAC0010,010916,2015,01,06,40.5,1,Y
IDCJAC0010,010916,2015,01,07,25.3,1,Y
IDCJAC0010,010916,2015,01,08,23.4,1,Y
IDCJAC0010,010916,2015,01,09,24.3,1,Y
IDCJAC0010,010916,2015,01,10,26.1,1,Y
IDCJAC0010,010916,2015,01,11,27.6,1,Y
IDCJAC0010,010916,2015,01,12,32.7,1,Y
IDCJAC0010,010916,2015,01,13,37.6,1,Y
IDCJAC0010,010916,2015,01,14,31.8,1,Y
IDCJAC0010,010916,2015,01,15,29.6,1,Y
IDCJAC0010,010916,2015,01,16,30.7,1,Y
IDCJAC0010,010916,2015,01,17,34.1,1,Y
IDCJAC0010,010916,2015,01,18,37.6,1,Y
IDCJAC0010,010916,2015,01,19,32.4,1,Y
IDCJAC0010,010916,2015,01,20,39.9,1,Y
IDCJAC0010,010916,2015,01,21,39.9,1,Y
IDCJAC0010,010916,2015,01,22,29.6,1,Y
IDCJAC0010,010916,2015,01,23,31.3,1,Y
IDCJAC0010,010916,2015,01,24,27.8,1,Y
IDCJAC0010,010916,2015,01,25,26.3,1,Y
IDCJAC0010,010916,2015,01,26,30.4,1,Y
IDCJAC0010,010916,2015,01,27,35.8,1,Y
IDCJAC0010,010916,2015,01,28,38.9,1,Y
IDCJAC0010,010916,2015,01,29,36.7,1,Y
IDCJAC0010,010916,2015,01,30,32.8,1,Y
IDCJAC0010,010916,2015,01,31,28.2,1,Y
IDCJAC0010,010916,2015,02,01,30.6,1,Y
IDCJAC0010,010916,2015,02,02,34.9,1,Y
IDCJAC0010,010916,2015,02,03,38.4,1,Y
IDCJAC0010,010916,2015,02,04,39.0,1,Y
IDCJAC0010,010916,2015,02,05,36.2,1,Y
IDCJAC0010,010916,2015,02,06,30.9,1,Y
IDCJAC0010,010916,2015,02,07,29.6,1,Y
IDCJAC0010,010916,2015,02,08,39.1,1,Y
IDCJAC0010,010916,2015,02,09,37.0,1,Y
IDCJAC0010,010916,2015,02,10,35.6,1,Y
IDCJAC0010,010916,2015,02,11,29.4,1,Y
IDCJAC0010,010916,2015,02,12,29.5,1,Y
IDCJAC0010,010916,2015,02,13,33.9,1,Y
IDCJAC0010,010916,2015,02,14,25.0,1,Y
IDCJAC0010,010916,2015,02,15,26.3,1,Y
IDCJAC0010,010916,2015,02,16,31.5,1,Y
IDCJAC0010,010916,2015,02,17,34.2,1,Y
IDCJAC0010,010916,2015,02,18,32.4,1,Y
IDCJAC0010,010916,2015,02,19,29.3,1,Y
IDCJAC0010,010916,2015,02,20,29.0,1,Y
IDCJAC0010,010916,2015,02,21,28.6,1,Y
IDCJAC0010,010916,2015,02,22,25.1,1,Y
IDCJAC0010,010916,2015,02,23,28.3,1,Y
IDCJAC0010,010916,2015,02,24,39.7,1,Y
IDCJAC0010,010916,2015,02,25,35.6,1,Y
IDCJAC0010,010916,2015,02,26,32.3,1,Y
IDCJAC0010,010916,2015,02,27,26.5,1,Y
IDCJAC0010,010916,2015,02,28,24.6,1,Y
IDCJAC0010,010916,2015,03,01,24.8,1,Y
IDCJAC0010,010916,2015,03,02,21.5,1,Y
IDCJAC0010,010916,2015,03,03,24.1,1,Y
IDCJAC0010,010916,2015,03,04,27.5,1,Y
IDCJAC0010,010916,2015,03,05,28.2,1,Y
IDCJAC0010,010916,2015,03,06,29.6,1,Y
IDCJAC0010,010916,2015,03,07,28.9,1,Y
IDCJAC0010,010916,2015,03,08,27.4,1,Y
IDCJAC0010,010916,2015,03,09,29.1,1,Y
IDCJAC0010,010916,2015,03,10,30.0,1,Y
IDCJAC0010,010916,2015,03,11,30.1,1,Y
IDCJAC0010,010916,2015,03,12,37.6,1,Y
IDCJAC0010,010916,2015,03,13,37.5,1,Y
IDCJAC0010,010916,2015,03,14,27.9,1,Y
