Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,010916,2015,01,01,12.8,1,Y
IDCJAC0011,010916,2015,01,02,11.4,1,Y
IDCJAC0011,010916,2015,01,03,9.1,1,Y
IDCJAC0011,010916,2015,01,04,10.4,1,Y
IDCJAC0011,010916,2015,01,05,14.9,1,Y
IDCJAC0011,010916,2015,01,06,26.1,1,Y
IDCJAC0011,010916,2015,01,07,15.3,1,Y
IDCJAC0011,010916,2015,01,08,12.5,1,Y
IDCJAC0011,010916,2015,01,09,11.9,1,Y
IDCJAC0011,010916,2015,01,10,13.2,1,Y
IDCJAC0011,010916,2015,01,11,10.1,1,Y
IDCJAC0011,010916,2015,01,12,11.0,1,Y
IDCJAC0011,010916,2015,01,13,13.4,1,Y
IDCJAC0011,010916,2015,01,14,15.7,1,Y
IDCJAC0011,010916,2015,01,15,15.2,1,Y
IDCJAC0011,010916,2015,01,16,9.1,1,Y
IDCJAC0011,010916,2015,01,17,14.9,1,Y
IDCJAC0011,010916,2015,01,18,15.9,1,Y
IDCJAC0011,010916,2015,01,19,15.2,1,Y
IDCJAC0011,010916,2015,01,20,14.4,1,Y
IDCJAC0011,010916,2015,01,21,19.5,1,Y
IDCJAC0011,010916,2015,01,22,14.9,1,Y
IDCJAC0011,010916,2015,01,23,10.4,1,Y
IDCJAC0011,010916,2015,01,24,9.8,1,Y
IDCJAC0011,010916,2015,01,25,10.7,1,Y
IDCJAC0011,010916,2015,01,26,11.1,1,Y
IDCJAC0011,010916,2015,01,27,13.4,1,Y
IDCJAC0011,010916,2015,01,28,16.7,1,Y
IDCJAC0011,010916,2015,01,29,21.8,1,Y
IDCJAC0011,010916,2015,01,30,16.9,1,Y
IDCJAC0011,010916,2015,01,31,15.0,1,Y
IDCJAC0011,010916,2015,02,01,15.3,1,Y
IDCJAC0011,010916,2015,02,02,17.3,1,Y
IDCJAC0011,010916,2015,02,03,19.3,1,Y
IDCJAC0011,010916,2015,02,04,22.1,1,Y
IDCJAC0011,010916,2015,02,05,18.0,1,Y
IDCJAC0011,010916,2015,02,06,14.9,1,Y
IDCJAC0011,010916,2015,02,07,14.3,1,Y
IDCJAC0011,010916,2015,02,08,15.8,1,Y
IDCJAC0011,010916,2015,02,09,18.4,1,Y
IDCJAC0011,010916,2015,02,10,14.5,1,Y
IDCJAC0011,010916,2015,02,11,16.5,1,Y
IDCJAC0011,010916,2015,02,12,16.5,1,Y
IDCJAC0011,010916,2015,02,13,17.3,1,Y
IDCJAC0011,010916,2015,02,14,14.6,1,Y
IDCJAC0011,010916,2015,02,15,8.2,1,Y
IDCJAC0011,010916,2015,02,16,11.3,1,Y
IDCJAC0011,010916,2015,02,17,15.0,1,Y
IDCJAC0011,010916,2015,02,18,17.5,1,Y
IDCJAC0011,010916,2015,02,19,17.2,1,Y
IDCJAC0011,010916,2015,02,20,12.9,1,Y
IDCJAC0011,010916,2015,02,21,11.7,1,Y
IDCJAC0011,010916,2015,02,22,14.7,1,Y
IDCJAC0011,010916,2015,02,23,11.2,1,Y
IDCJAC0011,010916,2015,02,24,14.6,1,Y
IDCJAC0011,010916,2015,02,25,18.6,1,Y
IDCJAC0011,010916,2015,02,26,17.3,1,Y
IDCJAC0011,010916,2015,02,27,19.2,1,Y
IDCJAC0011,010916,2015,02,28,12.7,1,Y
IDCJAC0011,010916,2015,03,01,11.8,1,Y
IDCJAC0011,010916,2015,03,02,14.4,1,Y
IDCJAC0011,010916,2015,03,03,13.1,1,Y
IDCJAC0011,010916,2015,03,04,12.3,1,Y
IDCJAC0011,010916,2015,03,05,11.9,1,Y
IDCJAC0011,010916,2015,03,06,13.2,1,Y
IDCJAC0011,010916,2015,03,07,15.4,1,Y
IDCJAC0011,010916,2015,03,08,12.5,1,Y
IDCJAC0011,010916,2015,03,09,12.6,1,Y
IDCJAC0011,010916,2015,03,10,15.5,1,Y
IDCJAC0011,010916,2015,03,11,13.4,1,Y
IDCJAC0011,010916,2015,03,12,14.0,1,Y
IDCJAC0011,010916,2015,03,13,14.6,1,Y
IDCJAC0011,010916,2015,03,14,20.4,1,Y
IDCJAC0011,010916,2015,03,15,16.8,1,Y
IDCJAC0011,010916,2015,03,16,16.9,1,Y
IDCJAC0011,010916,2015,03,17,15.3,1,Y
IDCJAC0011,010916,2015,03,18,17.3,1,Y
IDCJAC0011,010916,2015,03,19,13.4,1,Y
IDCJAC0011,010916,2015,03,20,9.1,1,Y
IDCJAC0011,010916,2015,03,21,14.9,1,Y
IDCJAC0011,010916,2015,03,22,12.1,1,Y
IDCJAC0011,010916,2015,03,23,4.5,1,Y
IDCJAC0011,010916,2015,03,24,5.4,1,Y
IDCJAC0011,010916,2015,03,25,7.3,1,Y
IDCJAC0011,010916,2015,03,26,9.4,1,Y
IDCJAC0011,010916,2015,03,27,14.1,1,Y
IDCJAC0011,010916,2015,03,28,11.4,1,Y
IDCJAC0011,010916,2015,03,29,11.1,1,Y
IDCJAC0011,010916,2015,03,30,12.2,1,Y
IDCJAC0011,010916,2015,03,31,16.3,1,Y
IDCJAC0011,010916,2015,04,01,11.7,1,Y
IDCJAC0011,010916,2015,04,02,8.4,1,Y
IDCJAC0011,010916,2015,04,03,10.3,1,Y
IDCJAC0011,010916,2015,04,04,10.9,1,Y
IDCJAC0011,010916,2015,04,05,10.6,1,Y
IDCJAC0011,010916,2015,04,06,12.4,1,Y
IDCJAC0011,010916,2015,04,07,12.4,1,Y
IDCJAC0011,010916,2015,04,08,13.1,1,Y
IDCJAC0011,010916,2015,04,09,13.7,1,Y
IDCJAC0011,010916,2015,04,10,16.1,1,Y
IDCJAC0011,010916,2015,04,11,16.0,1,Y
IDCJAC0011,010916,2015,04,12,14.5,1,Y
IDCJAC0011,010916,2015,04,13,13.5,1,Y
IDCJAC0011,010916,2015,04,14,12.4,1,Y
IDCJAC0011,010916,2015,04,15,7.7,1,Y
IDCJAC0011,010916,2015,04,16,5.7,1,Y
IDCJAC0011,010916,2015,04,17,5.9,1,Y
IDCJAC0011,010916,2015,04,18,7.7,1,Y
IDCJAC0011,010916,2015,04,19,9.2,1,Y
IDCJAC0011,010916,2015,04,20,10.1,1,Y
IDCJAC0011,010916,2015,04,21,9.6,1,Y
IDCJAC0011,010916,2015,04,22,7.7,1,Y
IDCJAC0011,010916,2015,04,23,9.6,1,Y
IDCJAC0011,010916,2015,04,24,9.3,1,Y
IDCJAC0011,010916,2015,04,25,8.4,1,Y
IDCJAC0011,010916,2015,04,26,6.0,1,Y
IDCJAC0011,010916,2015,04,27,6.5,1,Y
IDCJAC0011,010916,2015,04,28,7.3,1,Y
IDCJAC0011,010916,2015,04,29,11.7,1,Y
IDCJAC0011,010916,2015,04,30,13.1,1,Y
IDCJAC0011,010916,2015,05,01,7.7,1,Y
IDCJAC0011,010916,2015,05,02,4.7,1,Y
IDCJAC0011,010916,2015,05,03,7.8,1,Y
IDCJAC0011,010916,2015,05,04,4.7,1,Y
IDCJAC0011,010916,2015,05,05,6.4,1,Y
IDCJAC0011,010916,2015,05,06,7.0,1,Y
IDCJAC0011,010916,2015,05,07,3.4,1,Y
IDCJAC0011,010916,2015,05,08,4.7,1,Y
IDCJAC0011,010916,2015,05,09,7.4,1,Y
IDCJAC0011,010916,2015,05,10,11.1,1,Y
IDCJAC0011,010916,2015,05,11,11.6,1,Y
IDCJAC0011,010916,2015,05,12,9.3,1,Y
IDCJAC0011,010916,2015,05,13,6.6,1,Y
IDCJAC0011,010916,2015,05,14,6.3,1,Y
IDCJAC0011,010916,2015,05,15,9.5,1,Y
IDCJAC0011,010916,2015,05,16,15.2,1,Y
IDCJAC0011,010916,2015,05,17,9.5,1,Y
IDCJAC0011,010916,2015,05,18,11.1,1,Y
IDCJAC0011,010916,2015,05,19,7.9,1,Y
IDCJAC0011,010916,2015,05,20,4.8,1,Y
IDCJAC0011,010916,2015,05,21,4.8,1,Y
IDCJAC0011,010916,2015,05,22,5.5,1,Y
IDCJAC0011,010916,2015,05,23,5.6,1,Y
IDCJAC0011,010916,2015,05,24,5.2,1,Y
IDCJAC0011,010916,2015,05,25,6.0,1,Y
IDCJAC0011,010916,2015,05,26,9.2,1,Y
IDCJAC0011,010916,2015,05,27,4.9,1,Y
IDCJAC0011,010916,2015,05,28,6.1,1,Y
IDCJAC0011,010916,2015,05,29,1.7,1,Y
IDCJAC0011,010916,2015,05,30,2.9,1,Y
IDCJAC0011,010916,2015,05,31,2.9,1,Y
IDCJAC0011,010916,2015,06,01,5.0,1,Y
IDCJAC0011,010916,2015,06,02,8.0,1,Y
IDCJAC0011,010916,2015,06,03,12.0,1,Y
IDCJAC0011,010916,2015,06,04,11.8,1,Y
IDCJAC0011,010916,2015,06,05,8.2,1,Y
IDCJAC0011,010916,2015,06,06,11.5,1,Y
IDCJAC0011,010916,2015,06,07,8.6,1,Y
IDCJAC0011,010916,2015,06,08,8.2,1,Y
IDCJAC0011,010916,2015,06,09,7.1,1,Y
IDCJAC0011,010916,2015,06,10,4.5,1,Y
IDCJAC0011,010916,2015,06,11,7.2,1,Y
IDCJAC0011,010916,2015,06,12,11.3,1,Y
IDCJAC0011,010916,2015,06,13,8.0,1,Y
IDCJAC0011,010916,2015,06,14,5.1,1,Y
IDCJAC0011,010916,2015,06,15,5.8,1,Y
IDCJAC0011,010916,2015,06,16,8.2,1,Y
IDCJAC0011,010916,2015,06,17,7.8,1,Y
IDCJAC0011,010916,2015,06,18,9.9,1,Y
IDCJAC0011,010916,2015,06,19,11.1,1,Y
IDCJAC0011,010916,2015,06,20,13.0,1,Y
IDCJAC0011,010916,2015,06,21,12.8,1,Y
IDCJAC0011,010916,2015,06,22,6.6,1,Y
IDCJAC0011,010916,2015,06,23,3.2,1,Y
IDCJAC0011,010916,2015,06,24,1.9,1,Y
IDCJAC0011,010916,2015,06,25,4.8,1,Y
IDCJAC0011,010916,2015,06,26,7.9,1,Y
IDCJAC0011,010916,2015,06,27,5.1,1,Y
IDCJAC0011,010916,2015,06,28,6.5,1,Y
IDCJAC0011,010916,2015,06,29,2.1,1,Y
IDCJAC0011,010916,2015,06,30,5.1,1,Y
IDCJAC0011,010916,2015,07,01,8.1,1,Y
IDCJAC0011,010916,2015,07,02,11.0,1,Y
IDCJAC0011,010916,2015,07,03,8.3,1,Y
IDCJAC0011,010916,2015,07,04,10.0,1,Y
IDCJAC0011,010916,2015,07,05,9.5,1,Y
IDCJAC0011,010916,2015,07,06,5.3,1,Y
