Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,010916,2016,01,01,28.7
IDCJAC0016,010916,2016,01,02,29.4
IDCJAC0016,010916,2016,01,03,28.2
IDCJAC0016,010916,2016,01,04,18.5
IDCJAC0016,010916,2016,01,05,29.2
IDCJAC0016,010916,2016,01,06,31.2
IDCJAC0016,010916,2016,01,07,30.6
IDCJAC0016,010916,2016,01,08,17.3
IDCJAC0016,010916,2016,01,09,28.4
IDCJAC0016,010916,2016,01,10,31.3
IDCJAC0016,010916,2016,01,11,30.5
IDCJAC0016,010916,2016,01,12,22.9
IDCJAC0016,010916,2016,01,13,29.6
IDCJAC0016,010916,2016,01,14,32.0
IDCJAC0016,010916,2016,01,15,32.2
IDCJAC0016,010916,2016,01,16,22.4
IDCJAC0016,010916,2016,01,17,16.2
IDCJAC0016,010916,2016,01,18,5.6
IDCJAC0016,010916,2016,01,19,20.9
IDCJAC0016,010916,2016,01,20,2.8
IDCJAC0016,010916,2016,01,21,18.0
IDCJAC0016,010916,2016,01,22,20.7
IDCJAC0016,010916,2016,01,23,26.4
IDCJAC0016,010916,2016,01,24,27.0
IDCJAC0016,010916,2016,01,25,14.6
IDCJAC0016,010916,2016,01,26,23.7
IDCJAC0016,010916,2016,01,27,27.4
IDCJAC0016,010916,2016,01,28,30.1
IDCJAC0016,010916,2016,01,29,28.8
IDCJAC0016,010916,2016,01,30,10.1
IDCJAC0016,010916,2016,01,31,5.4
IDCJAC0016,010916,2016,02,01,25.5
IDCJAC0016,010916,2016,02,02,30.3
IDCJAC0016,010916,2016,02,03,30.6
IDCJAC0016,010916,2016,02,04,29.8
IDCJAC0016,010916,2016,02,05,29.5
IDCJAC0016,010916,2016,02,06,29.3
IDCJAC0016,010916,2016,02,07,29.5
IDCJAC0016,010916,2016,02,08,29.7
IDCJAC0016,010916,2016,02,09,29.4
IDCJAC0016,010916,2016,02,10,28.7
IDCJAC0016,010916,2016,02,11,28.9
IDCJAC0016,010916,2016,02,12,28.3
IDCJAC0016,010916,2016,02,13,28.0
IDCJAC0016,010916,2016,02,14,27.0
IDCJAC0016,010916,2016,02,15,29.2
IDCJAC0016,010916,2016,02,16,27.9
IDCJAC0016,010916,2016,02,17,25.6
IDCJAC0016,010916,2016,02,18,11.9
IDCJAC0016,010916,2016,02,19,6.7
IDCJAC0016,010916,2016,02,20,17.5
IDCJAC0016,010916,2016,02,21,23.2
IDCJAC0016,010916,2016,02,22,22.7
IDCJAC0016,010916,2016,02,23,15.9
IDCJAC0016,010916,2016,02,24,22.3
IDCJAC0016,010916,2016,02,25,26.8
IDCJAC0016,010916,2016,02,26,26.0
IDCJAC0016,010916,2016,02,27,21.0
IDCJAC0016,010916,2016,02,28,25.5
IDCJAC0016,010916,2016,02,29,23.1
IDCJAC0016,010916,2016,03,01,24.7
IDCJAC0016,010916,2016,03,02,25.0
IDCJAC0016,010916,2016,03,03,24.1
IDCJAC0016,010916,2016,03,04,18.0
IDCJAC0016,010916,2016,03,05,8.2
IDCJAC0016,010916,2016,03,06,14.6
