Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,008315,2015,01,01,31.5
IDCJAC0016,008315,2015,01,02,30.3
IDCJAC0016,008315,2015,01,03,29.2
IDCJAC0016,008315,2015,01,04,31.4
IDCJAC0016,008315,2015,01,05,13.8
IDCJAC0016,008315,2015,01,06,30.0
IDCJAC0016,008315,2015,01,07,30.2
IDCJAC0016,008315,2015,01,08,30.7
IDCJAC0016,008315,2015,01,09,31.6
IDCJAC0016,008315,2015,01,10,32.0
IDCJAC0016,008315,2015,01,11,32.2
IDCJAC0016,008315,2015,01,12,31.9
IDCJAC0016,008315,2015,01,13,30.6
IDCJAC0016,008315,2015,01,14,28.8
IDCJAC0016,008315,2015,01,15,31.3
IDCJAC0016,008315,2015,01,16,32.3
IDCJAC0016,008315,2015,01,17,28.2
IDCJAC0016,008315,2015,01,18,31.0
IDCJAC0016,008315,2015,01,19,30.6
IDCJAC0016,008315,2015,01,20,30.8
IDCJAC0016,008315,2015,01,21,26.8
IDCJAC0016,008315,2015,01,22,25.9
IDCJAC0016,008315,2015,01,23,29.7
IDCJAC0016,008315,2015,01,24,30.6
IDCJAC0016,008315,2015,01,25,31.2
IDCJAC0016,008315,2015,01,26,29.9
IDCJAC0016,008315,2015,01,27,28.5
IDCJAC0016,008315,2015,01,28,27.4
IDCJAC0016,008315,2015,01,29,21.2
IDCJAC0016,008315,2015,01,30,27.0
IDCJAC0016,008315,2015,01,31,10.0
IDCJAC0016,008315,2015,02,01,19.9
IDCJAC0016,008315,2015,02,02,24.2
IDCJAC0016,008315,2015,02,03,28.8
IDCJAC0016,008315,2015,02,04,28.9
IDCJAC0016,008315,2015,02,05,27.4
IDCJAC0016,008315,2015,02,06,28.0
IDCJAC0016,008315,2015,02,07,28.2
IDCJAC0016,008315,2015,02,08,28.8
IDCJAC0016,008315,2015,02,09,27.4
IDCJAC0016,008315,2015,02,10,20.3
IDCJAC0016,008315,2015,02,11,27.5
IDCJAC0016,008315,2015,02,12,13.4
IDCJAC0016,008315,2015,02,13,20.8
IDCJAC0016,008315,2015,02,14,27.3
IDCJAC0016,008315,2015,02,15,25.4
IDCJAC0016,008315,2015,02,16,11.1
IDCJAC0016,008315,2015,02,17,25.8
IDCJAC0016,008315,2015,02,18,26.8
IDCJAC0016,008315,2015,02,19,19.7
IDCJAC0016,008315,2015,02,20,18.4
IDCJAC0016,008315,2015,02,21,26.2
IDCJAC0016,008315,2015,02,22,27.1
IDCJAC0016,008315,2015,02,23,26.6
IDCJAC0016,008315,2015,02,24,7.0
IDCJAC0016,008315,2015,02,25,21.9
IDCJAC0016,008315,2015,02,26,12.9
IDCJAC0016,008315,2015,02,27,21.1
IDCJAC0016,008315,2015,02,28,24.3
IDCJAC0016,008315,2015,03,01,15.8
IDCJAC0016,008315,2015,03,02,19.1
IDCJAC0016,008315,2015,03,03,24.6
IDCJAC0016,008315,2015,03,04,20.0
IDCJAC0016,008315,2015,03,05,20.3
IDCJAC0016,008315,2015,03,06,11.4
IDCJAC0016,008315,2015,03,07,13.0
IDCJAC0016,008315,2015,03,08,22.5
IDCJAC0016,008315,2015,03,09,24.4
IDCJAC0016,008315,2015,03,10,24.8
IDCJAC0016,008315,2015,03,11,24.8
IDCJAC0016,008315,2015,03,12,23.7
IDCJAC0016,008315,2015,03,13,8.3
IDCJAC0016,008315,2015,03,14,16.0
IDCJAC0016,008315,2015,03,15,20.6
IDCJAC0016,008315,2015,03,16,17.6
IDCJAC0016,008315,2015,03,17,21.6
IDCJAC0016,008315,2015,03,18,10.7
IDCJAC0016,008315,2015,03,19,22.6
IDCJAC0016,008315,2015,03,20,22.7
IDCJAC0016,008315,2015,03,21,21.9
IDCJAC0016,008315,2015,03,22,21.4
IDCJAC0016,008315,2015,03,23,21.1
IDCJAC0016,008315,2015,03,24,20.2
IDCJAC0016,008315,2015,03,25,22.1
IDCJAC0016,008315,2015,03,26,15.1
IDCJAC0016,008315,2015,03,27,20.5
IDCJAC0016,008315,2015,03,28,21.3
IDCJAC0016,008315,2015,03,29,21.0
IDCJAC0016,008315,2015,03,30,4.2
IDCJAC0016,008315,2015,03,31,15.0
IDCJAC0016,008315,2015,04,01,20.9
IDCJAC0016,008315,2015,04,02,18.1
IDCJAC0016,008315,2015,04,03,20.2
IDCJAC0016,008315,2015,04,04,13.6
IDCJAC0016,008315,2015,04,05,19.2
IDCJAC0016,008315,2015,04,06,11.8
IDCJAC0016,008315,2015,04,07,9.5
IDCJAC0016,008315,2015,04,08,7.0
IDCJAC0016,008315,2015,04,09,5.0
IDCJAC0016,008315,2015,04,10,12.0
IDCJAC0016,008315,2015,04,11,18.1
IDCJAC0016,008315,2015,04,12,16.3
IDCJAC0016,008315,2015,04,13,17.3
IDCJAC0016,008315,2015,04,14,16.0
IDCJAC0016,008315,2015,04,15,19.0
IDCJAC0016,008315,2015,04,16,19.3
IDCJAC0016,008315,2015,04,17,18.5
IDCJAC0016,008315,2015,04,18,18.8
IDCJAC0016,008315,2015,04,19,19.0
IDCJAC0016,008315,2015,04,20,18.8
IDCJAC0016,008315,2015,04,21,18.3
IDCJAC0016,008315,2015,04,22,18.0
IDCJAC0016,008315,2015,04,23,18.0
IDCJAC0016,008315,2015,04,24,17.1
IDCJAC0016,008315,2015,04,25,17.6
IDCJAC0016,008315,2015,04,26,17.2
IDCJAC0016,008315,2015,04,27,17.0
IDCJAC0016,008315,2015,04,28,7.3
IDCJAC0016,008315,2015,04,29,5.3
IDCJAC0016,008315,2015,04,30,11.8
IDCJAC0016,008315,2015,05,01,14.0
IDCJAC0016,008315,2015,05,02,15.6
IDCJAC0016,008315,2015,05,03,15.1
IDCJAC0016,008315,2015,05,04,12.8
IDCJAC0016,008315,2015,05,05,16.6
IDCJAC0016,008315,2015,05,06,16.4
IDCJAC0016,008315,2015,05,07,16.2
IDCJAC0016,008315,2015,05,08,16.0
IDCJAC0016,008315,2015,05,09,15.9
IDCJAC0016,008315,2015,05,10,15.8
IDCJAC0016,008315,2015,05,11,15.8
IDCJAC0016,008315,2015,05,12,15.3
IDCJAC0016,008315,2015,05,13,15.2
IDCJAC0016,008315,2015,05,14,15.0
IDCJAC0016,008315,2015,05,15,13.0
IDCJAC0016,008315,2015,05,16,3.2
IDCJAC0016,008315,2015,05,17,13.7
IDCJAC0016,008315,2015,05,18,14.0
IDCJAC0016,008315,2015,05,19,13.8
IDCJAC0016,008315,2015,05,20,13.5
IDCJAC0016,008315,2015,05,21,13.9
