Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,010916,2015,01,01,32.6
IDCJAC0016,010916,2015,01,02,19.5
IDCJAC0016,010916,2015,01,03,31.4
IDCJAC0016,010916,2015,01,04,32.9
IDCJAC0016,010916,2015,01,05,31.2
IDCJAC0016,010916,2015,01,06,25.8
IDCJAC0016,010916,2015,01,07,24.7
IDCJAC0016,010916,2015,01,08,33.4
IDCJAC0016,010916,2015,01,09,25.0
IDCJAC0016,010916,2015,01,10,26.9
IDCJAC0016,010916,2015,01,11,32.6
IDCJAC0016,010916,2015,01,12,32.5
IDCJAC0016,010916,2015,01,13,32.1
IDCJAC0016,010916,2015,01,14,31.8
IDCJAC0016,010916,2015,01,15,30.1
IDCJAC0016,010916,2015,01,16,32.3
IDCJAC0016,010916,2015,01,17,31.2
IDCJAC0016,010916,2015,01,18,28.4
IDCJAC0016,010916,2015,01,19,28.8
IDCJAC0016,010916,2015,01,20,30.5
IDCJAC0016,010916,2015,01,21,27.9
IDCJAC0016,010916,2015,01,22,31.2
IDCJAC0016,010916,2015,01,23,29.8
IDCJAC0016,010916,2015,01,24,26.8
IDCJAC0016,010916,2015,01,25,30.9
IDCJAC0016,010916,2015,01,26,31.0
IDCJAC0016,010916,2015,01,27,30.7
IDCJAC0016,010916,2015,01,28,24.7
IDCJAC0016,010916,2015,01,29,18.5
IDCJAC0016,010916,2015,01,30,26.9
IDCJAC0016,010916,2015,01,31,28.3
IDCJAC0016,010916,2015,02,01,23.5
IDCJAC0016,010916,2015,02,02,21.1
IDCJAC0016,010916,2015,02,03,24.4
IDCJAC0016,010916,2015,02,04,24.6
IDCJAC0016,010916,2015,02,05,23.1
IDCJAC0016,010916,2015,02,06,29.0
IDCJAC0016,010916,2015,02,07,29.4
IDCJAC0016,010916,2015,02,08,28.0
IDCJAC0016,010916,2015,02,09,26.3
IDCJAC0016,010916,2015,02,10,27.3
IDCJAC0016,010916,2015,02,11,27.0
IDCJAC0016,010916,2015,02,12,14.7
IDCJAC0016,010916,2015,02,13,16.3
IDCJAC0016,010916,2015,02,14,27.2
IDCJAC0016,010916,2015,02,15,28.0
IDCJAC0016,010916,2015,02,16,25.1
IDCJAC0016,010916,2015,02,17,22.2
IDCJAC0016,010916,2015,02,18,11.0
IDCJAC0016,010916,2015,02,19,22.3
IDCJAC0016,010916,2015,02,20,21.0
IDCJAC0016,010916,2015,02,21,26.3
