Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,009542,2015,01,01,24.6
IDCJAC0016,009542,2015,01,02,22.0
IDCJAC0016,009542,2015,01,03,23.1
IDCJAC0016,009542,2015,01,04,32.3
IDCJAC0016,009542,2015,01,05,32.4
IDCJAC0016,009542,2015,01,06,32.6
IDCJAC0016,009542,2015,01,07,5.8
IDCJAC0016,009542,2015,01,08,18.5
IDCJAC0016,009542,2015,01,09,15.1
IDCJAC0016,009542,2015,01,10,22.5
IDCJAC0016,009542,2015,01,11,21.8
IDCJAC0016,009542,2015,01,12,30.9
IDCJAC0016,009542,2015,01,13,31.7
IDCJAC0016,009542,2015,01,14,31.4
IDCJAC0016,009542,2015,01,15,11.2
IDCJAC0016,009542,2015,01,16,31.5
IDCJAC0016,009542,2015,01,17,29.3
IDCJAC0016,009542,2015,01,18,24.7
IDCJAC0016,009542,2015,01,19,26.4
IDCJAC0016,009542,2015,01,20,30.8
IDCJAC0016,009542,2015,01,21,29.6
IDCJAC0016,009542,2015,01,22,27.8
IDCJAC0016,009542,2015,01,23,27.2
IDCJAC0016,009542,2015,01,24,21.2
IDCJAC0016,009542,2015,01,25,25.9
IDCJAC0016,009542,2015,01,26,31.2
IDCJAC0016,009542,2015,01,27,31.3
IDCJAC0016,009542,2015,01,28,30.8
IDCJAC0016,009542,2015,01,29,30.7
IDCJAC0016,009542,2015,01,30,24.1
IDCJAC0016,009542,2015,01,31,19.8
IDCJAC0016,009542,2015,02,01,27.5
IDCJAC0016,009542,2015,02,02,26.9
IDCJAC0016,009542,2015,02,03,28.6
IDCJAC0016,009542,2015,02,04,23.6
IDCJAC0016,009542,2015,02,05,28.4
IDCJAC0016,009542,2015,02,06,24.2
IDCJAC0016,009542,2015,02,07,25.8
IDCJAC0016,009542,2015,02,08,21.8
IDCJAC0016,009542,2015,02,09,21.7
IDCJAC0016,009542,2015,02,10,22.6
IDCJAC0016,009542,2015,02,11,24.1
IDCJAC0016,009542,2015,02,12,11.7
IDCJAC0016,009542,2015,02,13,4.0
IDCJAC0016,009542,2015,02,14,19.2
IDCJAC0016,009542,2015,02,15,25.3
IDCJAC0016,009542,2015,02,16,26.5
IDCJAC0016,009542,2015,02,17,25.1
IDCJAC0016,009542,2015,02,18,12.8
IDCJAC0016,009542,2015,02,19,10.3
IDCJAC0016,009542,2015,02,20,20.6
IDCJAC0016,009542,2015,02,21,24.0
IDCJAC0016,009542,2015,02,22,16.3
IDCJAC0016,009542,2015,02,23,25.5
IDCJAC0016,009542,2015,02,24,24.2
IDCJAC0016,009542,2015,02,25,10.9
IDCJAC0016,009542,2015,02,26,16.8
IDCJAC0016,009542,2015,02,27,16.4
IDCJAC0016,009542,2015,02,28,10.5
IDCJAC0016,009542,2015,03,01,21.0
IDCJAC0016,009542,2015,03,02,14.6
IDCJAC0016,009542,2015,03,03,20.0
IDCJAC0016,009542,2015,03,04,15.0
IDCJAC0016,009542,2015,03,05,22.2
IDCJAC0016,009542,2015,03,06,24.2
IDCJAC0016,009542,2015,03,07,22.7
IDCJAC0016,009542,2015,03,08,19.0
IDCJAC0016,009542,2015,03,09,21.9
IDCJAC0016,009542,2015,03,10,23.5
IDCJAC0016,009542,2015,03,11,23.6
IDCJAC0016,009542,2015,03,12,22.9
IDCJAC0016,009542,2015,03,13,22.0
IDCJAC0016,009542,2015,03,14,14.1
IDCJAC0016,009542,2015,03,15,16.5
IDCJAC0016,009542,2015,03,16,15.1
IDCJAC0016,009542,2015,03,17,19.3
IDCJAC0016,009542,2015,03,18,7.8
IDCJAC0016,009542,2015,03,19,13.9
IDCJAC0016,009542,2015,03,20,20.5
IDCJAC0016,009542,2015,03,21,13.0
IDCJAC0016,009542,2015,03,22,10.7
IDCJAC0016,009542,2015,03,23,13.3
IDCJAC0016,009542,2015,03,24,20.6
IDCJAC0016,009542,2015,03,25,12.1
IDCJAC0016,009542,2015,03,26,20.8
IDCJAC0016,009542,2015,03,27,14.8
IDCJAC0016,009542,2015,03,28,19.1
IDCJAC0016,009542,2015,03,29,19.7
IDCJAC0016,009542,2015,03,30,17.8
IDCJAC0016,009542,2015,03,31,6.0
IDCJAC0016,009542,2015,04,01,16.1
IDCJAC0016,009542,2015,04,02,15.3
IDCJAC0016,009542,2015,04,03,12.2
IDCJAC0016,009542,2015,04,04,12.6
IDCJAC0016,009542,2015,04,05,12.9
IDCJAC0016,009542,2015,04,06,9.7
IDCJAC0016,009542,2015,04,07,13.1
IDCJAC0016,009542,2015,04,08,6.2
IDCJAC0016,009542,2015,04,09,13.5
IDCJAC0016,009542,2015,04,10,14.6
IDCJAC0016,009542,2015,04,11,14.6
IDCJAC0016,009542,2015,04,12,10.9
IDCJAC0016,009542,2015,04,13,9.7
IDCJAC0016,009542,2015,04,14,16.0
IDCJAC0016,009542,2015,04,15,7.9
IDCJAC0016,009542,2015,04,16,7.8
IDCJAC0016,009542,2015,04,17,17.1
