Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,010092,2016,01,01,29.7
IDCJAC0016,010092,2016,01,02,30.2
IDCJAC0016,010092,2016,01,03,30.7
IDCJAC0016,010092,2016,01,04,11.8
IDCJAC0016,010092,2016,01,05,27.0
IDCJAC0016,010092,2016,01,06,30.6
IDCJAC0016,010092,2016,01,07,29.1
IDCJAC0016,010092,2016,01,08,17.5
IDCJAC0016,010092,2016,01,09,23.9
IDCJAC0016,010092,2016,01,10,31.2
IDCJAC0016,010092,2016,01,11,32.4
IDCJAC0016,010092,2016,01,12,27.5
IDCJAC0016,010092,2016,01,13,30.3
IDCJAC0016,010092,2016,01,14,31.4
IDCJAC0016,010092,2016,01,15,29.9
IDCJAC0016,010092,2016,01,16,26.4
IDCJAC0016,010092,2016,01,17,22.7
IDCJAC0016,010092,2016,01,18,3.8
IDCJAC0016,010092,2016,01,19,23.2
IDCJAC0016,010092,2016,01,20,24.7
IDCJAC0016,010092,2016,01,21,23.2
IDCJAC0016,010092,2016,01,22,30.0
IDCJAC0016,010092,2016,01,23,22.9
IDCJAC0016,010092,2016,01,24,29.9
IDCJAC0016,010092,2016,01,25,8.5
IDCJAC0016,010092,2016,01,26,21.5
IDCJAC0016,010092,2016,01,27,24.6
IDCJAC0016,010092,2016,01,28,30.7
IDCJAC0016,010092,2016,01,29,29.2
IDCJAC0016,010092,2016,01,30,16.6
IDCJAC0016,010092,2016,01,31,11.3
IDCJAC0016,010092,2016,02,01,31.6
IDCJAC0016,010092,2016,02,02,31.5
IDCJAC0016,010092,2016,02,03,31.0
IDCJAC0016,010092,2016,02,04,30.0
IDCJAC0016,010092,2016,02,05,30.0
IDCJAC0016,010092,2016,02,06,30.5
IDCJAC0016,010092,2016,02,07,30.3
IDCJAC0016,010092,2016,02,08,30.2
IDCJAC0016,010092,2016,02,09,30.1
IDCJAC0016,010092,2016,02,10,30.0
IDCJAC0016,010092,2016,02,11,30.2
IDCJAC0016,010092,2016,02,12,29.1
IDCJAC0016,010092,2016,02,13,28.2
IDCJAC0016,010092,2016,02,14,28.1
IDCJAC0016,010092,2016,02,15,29.3
IDCJAC0016,010092,2016,02,16,27.6
IDCJAC0016,010092,2016,02,17,26.5
IDCJAC0016,010092,2016,02,18,26.2
IDCJAC0016,010092,2016,02,19,25.1
IDCJAC0016,010092,2016,02,20,25.4
IDCJAC0016,010092,2016,02,21,26.3
IDCJAC0016,010092,2016,02,22,23.4
IDCJAC0016,010092,2016,02,23,26.7
IDCJAC0016,010092,2016,02,24,24.3
IDCJAC0016,010092,2016,02,25,27.2
IDCJAC0016,010092,2016,02,26,25.3
IDCJAC0016,010092,2016,02,27,23.1
IDCJAC0016,010092,2016,02,28,25.5
IDCJAC0016,010092,2016,02,29,25.1
IDCJAC0016,010092,2016,03,01,24.9
IDCJAC0016,010092,2016,03,02,25.2
IDCJAC0016,010092,2016,03,03,23.2
IDCJAC0016,010092,2016,03,04,24.5
IDCJAC0016,010092,2016,03,05,22.4
IDCJAC0016,010092,2016,03,06,20.7
IDCJAC0016,010092,2016,03,07,23.6
IDCJAC0016,010092,2016,03,08,24.3
IDCJAC0016,010092,2016,03,09,24.0
IDCJAC0016,010092,2016,03,10,21.6
IDCJAC0016,010092,2016,03,11,18.7
IDCJAC0016,010092,2016,03,12,22.1
IDCJAC0016,010092,2016,03,13,23.2
IDCJAC0016,010092,2016,03,14,22.5
IDCJAC0016,010092,2016,03,15,19.2
IDCJAC0016,010092,2016,03,16,18.8
IDCJAC0016,010092,2016,03,17,14.5
IDCJAC0016,010092,2016,03,18,17.1
IDCJAC0016,010092,2016,03,19,12.4
IDCJAC0016,010092,2016,03,20,21.7
IDCJAC0016,010092,2016,03,21,14.1
IDCJAC0016,010092,2016,03,22,13.2
IDCJAC0016,010092,2016,03,23,10.2
IDCJAC0016,010092,2016,03,24,11.5
IDCJAC0016,010092,2016,03,25,19.0
IDCJAC0016,010092,2016,03,26,3.7
IDCJAC0016,010092,2016,03,27,8.1
IDCJAC0016,010092,2016,03,28,11.4
IDCJAC0016,010092,2016,03,29,21.7
IDCJAC0016,010092,2016,03,30,21.6
IDCJAC0016,010092,2016,03,31,21.0
IDCJAC0016,010092,2016,04,01,19.1
IDCJAC0016,010092,2016,04,02,19.4
IDCJAC0016,010092,2016,04,03,20.5
IDCJAC0016,010092,2016,04,04,16.1
IDCJAC0016,010092,2016,04,05,20.0
IDCJAC0016,010092,2016,04,06,19.9
IDCJAC0016,010092,2016,04,07,18.3
IDCJAC0016,010092,2016,04,08,8.7
IDCJAC0016,010092,2016,04,09,4.6
IDCJAC0016,010092,2016,04,10,12.3
IDCJAC0016,010092,2016,04,11,3.7
IDCJAC0016,010092,2016,04,12,7.2
IDCJAC0016,010092,2016,04,13,9.0
IDCJAC0016,010092,2016,04,14,13.1
IDCJAC0016,010092,2016,04,15,14.9
IDCJAC0016,010092,2016,04,16,17.1
IDCJAC0016,010092,2016,04,17,4.9
IDCJAC0016,010092,2016,04,18,7.6
IDCJAC0016,010092,2016,04,19,15.2
IDCJAC0016,010092,2016,04,20,17.1
IDCJAC0016,010092,2016,04,21,18.1
IDCJAC0016,010092,2016,04,22,17.3
IDCJAC0016,010092,2016,04,23,17.5
IDCJAC0016,010092,2016,04,24,13.6
IDCJAC0016,010092,2016,04,25,3.9
IDCJAC0016,010092,2016,04,26,10.0
IDCJAC0016,010092,2016,04,27,12.4
IDCJAC0016,010092,2016,04,28,13.6
IDCJAC0016,010092,2016,04,29,10.5
IDCJAC0016,010092,2016,04,30,15.1
IDCJAC0016,010092,2016,05,01,16.4
IDCJAC0016,010092,2016,05,02,16.8
IDCJAC0016,010092,2016,05,03,5.5
IDCJAC0016,010092,2016,05,04,16.2
IDCJAC0016,010092,2016,05,05,15.8
IDCJAC0016,010092,2016,05,06,13.7
IDCJAC0016,010092,2016,05,07,15.3
IDCJAC0016,010092,2016,05,08,12.2
IDCJAC0016,010092,2016,05,09,12.9
IDCJAC0016,010092,2016,05,10,15.9
IDCJAC0016,010092,2016,05,11,15.8
IDCJAC0016,010092,2016,05,12,15.6
IDCJAC0016,010092,2016,05,13,15.4
IDCJAC0016,010092,2016,05,14,11.3
IDCJAC0016,010092,2016,05,15,14.5
IDCJAC0016,010092,2016,05,16,13.7
IDCJAC0016,010092,2016,05,17,13.6
IDCJAC0016,010092,2016,05,18,12.6
IDCJAC0016,010092,2016,05,19,8.0
IDCJAC0016,010092,2016,05,20,7.3
IDCJAC0016,010092,2016,05,21,5.0
IDCJAC0016,010092,2016,05,22,11.9
IDCJAC0016,010092,2016,05,23,12.4
IDCJAC0016,010092,2016,05,24,9.0
IDCJAC0016,010092,2016,05,25,10.6
IDCJAC0016,010092,2016,05,26,9.4
IDCJAC0016,010092,2016,05,27,12.0
IDCJAC0016,010092,2016,05,28,11.0
IDCJAC0016,010092,2016,05,29,11.0
IDCJAC0016,010092,2016,05,30,12.4
IDCJAC0016,010092,2016,05,31,9.9
IDCJAC0016,010092,2016,06,01,12.5
IDCJAC0016,010092,2016,06,02,12.5
IDCJAC0016,010092,2016,06,03,12.4
IDCJAC0016,010092,2016,06,04,7.2
IDCJAC0016,010092,2016,06,05,9.7
IDCJAC0016,010092,2016,06,06,8.5
IDCJAC0016,010092,2016,06,07,8.6
IDCJAC0016,010092,2016,06,08,9.9
IDCJAC0016,010092,2016,06,09,10.6
IDCJAC0016,010092,2016,06,10,12.2
IDCJAC0016,010092,2016,06,11,11.2
IDCJAC0016,010092,2016,06,12,11.3
IDCJAC0016,010092,2016,06,13,8.6
IDCJAC0016,010092,2016,06,14,8.9
IDCJAC0016,010092,2016,06,15,7.3
IDCJAC0016,010092,2016,06,16,9.9
IDCJAC0016,010092,2016,06,17,11.2
IDCJAC0016,010092,2016,06,18,12.1
IDCJAC0016,010092,2016,06,19,10.9
IDCJAC0016,010092,2016,06,20,4.4
IDCJAC0016,010092,2016,06,21,11.6
IDCJAC0016,010092,2016,06,22,9.4
IDCJAC0016,010092,2016,06,23,7.6
IDCJAC0016,010092,2016,06,24,9.5
IDCJAC0016,010092,2016,06,25,8.6
IDCJAC0016,010092,2016,06,26,12.1
IDCJAC0016,010092,2016,06,27,11.8
IDCJAC0016,010092,2016,06,28,11.3
IDCJAC0016,010092,2016,06,29,10.9
IDCJAC0016,010092,2016,06,30,12.2
IDCJAC0016,010092,2016,07,01,12.3
IDCJAC0016,010092,2016,07,02,11.4
IDCJAC0016,010092,2016,07,03,10.7
IDCJAC0016,010092,2016,07,04,8.7
IDCJAC0016,010092,2016,07,05,11.4
IDCJAC0016,010092,2016,07,06,11.2
IDCJAC0016,010092,2016,07,07,8.3
IDCJAC0016,010092,2016,07,08,6.4
IDCJAC0016,010092,2016,07,09,7.3
IDCJAC0016,010092,2016,07,10,9.5
IDCJAC0016,010092,2016,07,11,11.3
IDCJAC0016,010092,2016,07,12,12.2
IDCJAC0016,010092,2016,07,13,12.8
IDCJAC0016,010092,2016,07,14,12.7
IDCJAC0016,010092,2016,07,15,16.4
IDCJAC0016,010092,2016,07,16,11.2
IDCJAC0016,010092,2016,07,17,8.8
IDCJAC0016,010092,2016,07,18,12.0
IDCJAC0016,010092,2016,07,19,12.8
IDCJAC0016,010092,2016,07,20,13.0
IDCJAC0016,010092,2016,07,21,11.3
IDCJAC0016,010092,2016,07,22,13.4
IDCJAC0016,010092,2016,07,23,10.8
IDCJAC0016,010092,2016,07,24,13.7
IDCJAC0016,010092,2016,07,25,10.8
IDCJAC0016,010092,2016,07,26,13.7
IDCJAC0016,010092,2016,07,27,10.1
IDCJAC0016,010092,2016,07,28,11.6
IDCJAC0016,010092,2016,07,29,11.6
IDCJAC0016,010092,2016,07,30,13.5
IDCJAC0016,010092,2016,07,31,10.3
