Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,009542,2016,01,01,18.2
IDCJAC0016,009542,2016,01,02,3.6
IDCJAC0016,009542,2016,01,03,28.9
IDCJAC0016,009542,2016,01,04,12.4
IDCJAC0016,009542,2016,01,05,4.9
IDCJAC0016,009542,2016,01,06,29.8
IDCJAC0016,009542,2016,01,07,31.3
IDCJAC0016,009542,2016,01,08,32.7
IDCJAC0016,009542,2016,01,09,29.1
IDCJAC0016,009542,2016,01,10,18.5
IDCJAC0016,009542,2016,01,11,29.1
IDCJAC0016,009542,2016,01,12,21.7
IDCJAC0016,009542,2016,01,13,24.4
IDCJAC0016,009542,2016,01,14,30.5
IDCJAC0016,009542,2016,01,15,31.2
IDCJAC0016,009542,2016,01,16,30.1
IDCJAC0016,009542,2016,01,17,15.4
IDCJAC0016,009542,2016,01,18,15.6
IDCJAC0016,009542,2016,01,19,23.7
IDCJAC0016,009542,2016,01,20,16.8
IDCJAC0016,009542,2016,01,21,8.2
IDCJAC0016,009542,2016,01,22,20.5
IDCJAC0016,009542,2016,01,23,28.6
IDCJAC0016,009542,2016,01,24,29.9
IDCJAC0016,009542,2016,01,25,3.5
IDCJAC0016,009542,2016,01,26,16.3
IDCJAC0016,009542,2016,01,27,18.4
IDCJAC0016,009542,2016,01,28,18.8
IDCJAC0016,009542,2016,01,29,25.9
IDCJAC0016,009542,2016,01,30,25.3
IDCJAC0016,009542,2016,01,31,14.8
IDCJAC0016,009542,2016,02,01,20.9
IDCJAC0016,009542,2016,02,02,22.7
IDCJAC0016,009542,2016,02,03,22.7
IDCJAC0016,009542,2016,02,04,29.0
IDCJAC0016,009542,2016,02,05,28.9
IDCJAC0016,009542,2016,02,06,29.5
IDCJAC0016,009542,2016,02,07,29.0
IDCJAC0016,009542,2016,02,08,29.2
IDCJAC0016,009542,2016,02,09,29.0
IDCJAC0016,009542,2016,02,10,28.1
IDCJAC0016,009542,2016,02,11,28.9
IDCJAC0016,009542,2016,02,12,20.7
IDCJAC0016,009542,2016,02,13,19.5
IDCJAC0016,009542,2016,02,14,20.3
IDCJAC0016,009542,2016,02,15,26.0
IDCJAC0016,009542,2016,02,16,27.3
IDCJAC0016,009542,2016,02,17,25.8
IDCJAC0016,009542,2016,02,18,21.1
IDCJAC0016,009542,2016,02,19,11.6
IDCJAC0016,009542,2016,02,20,3.4
IDCJAC0016,009542,2016,02,21,25.8
IDCJAC0016,009542,2016,02,22,23.6
IDCJAC0016,009542,2016,02,23,14.4
IDCJAC0016,009542,2016,02,24,14.3
IDCJAC0016,009542,2016,02,25,20.2
IDCJAC0016,009542,2016,02,26,25.5
IDCJAC0016,009542,2016,02,27,24.6
IDCJAC0016,009542,2016,02,28,18.5
IDCJAC0016,009542,2016,02,29,18.0
IDCJAC0016,009542,2016,03,01,15.2
IDCJAC0016,009542,2016,03,02,24.3
IDCJAC0016,009542,2016,03,03,22.8
IDCJAC0016,009542,2016,03,04,8.5
IDCJAC0016,009542,2016,03,05,18.7
IDCJAC0016,009542,2016,03,06,17.2
IDCJAC0016,009542,2016,03,07,15.6
IDCJAC0016,009542,2016,03,08,17.9
IDCJAC0016,009542,2016,03,09,22.4
IDCJAC0016,009542,2016,03,10,20.4
IDCJAC0016,009542,2016,03,11,5.1
IDCJAC0016,009542,2016,03,12,20.5
IDCJAC0016,009542,2016,03,13,22.3
IDCJAC0016,009542,2016,03,14,21.5
IDCJAC0016,009542,2016,03,15,21.6
IDCJAC0016,009542,2016,03,16,10.4
IDCJAC0016,009542,2016,03,17,15.6
IDCJAC0016,009542,2016,03,18,18.6
